freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	Re(C)/nF	Im(C)/nF	|C|/nF	
1,2600809E+001	2,4038095E+001	3,7570605E-001	2,4041031E+001	-8,9543778E-001	8,2104014E+003	5,2530988E+005	5,2537406E+005
1,0016025E+001	2,3945875E+001	2,9638880E-001	2,3947710E+001	-7,0913929E-001	8,2121553E+003	6,6347950E+005	6,6353031E+005
7,9557004E+000	2,4122551E+001	6,0766824E-003	2,4122551E+001	-1,4433310E-002	2,0893298E+002	8,2931294E+005	8,2931294E+005
6,3105812E+000	2,4073912E+001	1,6703527E-001	2,4074492E+001	-3,9753664E-001	7,2685098E+003	1,0475704E+006	1,0475956E+006
5,0144420E+000	2,4343628E+001	-4,0786009E-002	2,4343662E+001	9,5994897E-002	-2,1843816E+003	1,3038000E+006	1,3038019E+006
3,9859698E+000	2,4308094E+001	2,3703916E-001	2,4309250E+001	-5,5869925E-001	1,6016372E+004	1,6424566E+006	1,6425348E+006
3,1655185E+000	2,4255270E+001	-2,0553270E-002	2,4255280E+001	4,8550904E-002	-1,7565745E+003	2,0728546E+006	2,0728554E+006
2,5136747E+000	2,3848848E+001	-3,3082642E-002	2,3848871E+001	7,9479493E-002	-3,6829419E+003	2,6548673E+006	2,6548698E+006
1,9970603E+000	2,4444178E+001	-5,4939319E-003	2,4444178E+001	1,2877468E-002	-7,3281342E+002	3,2602698E+006	3,2602698E+006
1,5846856E+000	2,4663380E+001	-3,3327594E-001	2,4665632E+001	7,7419001E-001	-5,5017145E+004	4,0714125E+006	4,0717843E+006
1,2596742E+000	2,4080465E+001	-9,3065806E-002	2,4080645E+001	2,2143473E-001	-2,0277639E+004	5,2467520E+006	5,2467910E+006
1,0000639E+000	2,4191042E+001	-4,6809793E-001	2,4195570E+001	1,1085380E+000	-1,2724963E+005	6,5762035E+006	6,5774345E+006
7,9882401E-001	2,6229856E+001	-5,9335095E-001	2,6236567E+001	1,2958785E+000	-1,7173772E+005	7,5919085E+006	7,5938505E+006
6,2907392E-001	2,7099930E+001	5,2258575E-001	2,7104967E+001	-1,1047353E+000	1,7996111E+005	9,3323030E+006	9,3340380E+006
4,9926502E-001	2,7682182E+001	-1,0567732E+000	2,7702347E+001	2,1862171E+000	-4,3897316E+005	1,1498898E+007	1,1507274E+007
3,9941201E-001	2,7387238E+001	-5,7960469E-001	2,7393370E+001	1,2123876E+000	-3,0777963E+005	1,4543079E+007	1,4546335E+007
3,1952962E-001	2,6299309E+001	1,2103364E+000	2,6327145E+001	-2,6349845E+000	8,6977713E+005	1,8899304E+007	1,8919308E+007
2,4963251E-001	2,5412399E+001	-4,3124989E-001	2,5416058E+001	9,7221935E-001	-4,2563025E+005	2,5081196E+007	2,5084808E+007
1,9970600E-001	2,7363132E+001	2,8256669E+000	2,7508642E+001	-5,8957782E+000	2,9758528E+006	2,8817516E+007	2,8970760E+007
1,5976481E-001	2,4185577E+001	-2,1506059E+000	2,4281006E+001	5,0814338E+000	-3,6338475E+006	4,0866000E+007	4,1027244E+007
1,2980890E-001	2,5374617E+001	-1,3149587E+000	2,5408665E+001	2,9665177E+000	-2,4972593E+006	4,8189392E+007	4,8254056E+007
9,9853002E-002	2,8209705E+001	1,7223150E+000	2,8262234E+001	-3,4937990E+000	3,4368333E+006	5,6291732E+007	5,6396552E+007
7,9882406E-002	2,3873308E+001	1,3512579E+000	2,3911518E+001	-3,2395537E+000	4,7086155E+006	8,3189264E+007	8,3322416E+007
5,9911802E-002	2,5791849E+001	5,2281755E-001	2,5797148E+001	-1,1612636E+000	2,0869599E+006	1,0295486E+008	1,0297601E+008
4,9926501E-002	2,3425940E+001	5,1251955E-002	2,3425995E+001	-1,2535319E-001	2,9771153E+005	1,3607864E+008	1,3607896E+008
3,9941203E-002	2,6834696E+001	1,5757765E-001	2,6835159E+001	-3,3644617E-001	8,7194381E+005	1,4848662E+008	1,4848918E+008
2,9955901E-002	2,5041334E+001	9,0609705E-001	2,5057722E+001	-2,0722897E+000	7,6670635E+006	2,1189077E+008	2,1202944E+008
1,9970601E-002	2,5703150E+001	1,0423907E+000	2,5724277E+001	-2,3223565E+000	1,2553744E+007	3,0954867E+008	3,0980314E+008
9,9853007E-003	2,8194510E+001	4,0693724E-001	2,8197447E+001	-8,2690454E-001	8,1576815E+006	5,6520237E+008	5,6526125E+008
