freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	Re(C)/nF	Im(C)/nF	|C|/nF	
7,9597607E+003	8,4756355E+000	4,0666223E+000	9,4007349E+000	-2,5631760E+001	9,2009009E+002	1,9176476E+003	2,1269551E+003
6,3238188E+003	8,9458437E+000	4,8897963E+000	1,0195010E+001	-2,8661007E+001	1,1840121E+003	2,1661406E+003	2,4686130E+003
5,0216069E+003	9,5523272E+000	5,8328075E+000	1,1192346E+001	-3,1408922E+001	1,4757501E+003	2,4168206E+003	2,8317593E+003
3,9861731E+003	1,0419978E+001	6,8918757E+000	1,2492954E+001	-3,3481041E+001	1,7630763E+003	2,6656338E+003	3,1959414E+003
3,1669595E+003	1,1497169E+001	8,0356398E+000	1,4026988E+001	-3,4950596E+001	2,0524338E+003	2,9365652E+003	3,5827224E+003
2,5158047E+003	1,2864958E+001	9,2104998E+000	1,5822150E+001	-3,5600277E+001	2,3275305E+003	3,2510271E+003	3,9983215E+003
1,9980818E+003	1,4546218E+001	1,0301152E+001	1,7824314E+001	-3,5304871E+001	2,5826587E+003	3,6469622E+003	4,4688320E+003
1,5884750E+003	1,6491205E+001	1,1279345E+001	1,9979576E+001	-3,4370613E+001	2,8310730E+003	4,1392305E+003	5,0147983E+003
1,2604036E+003	1,8637197E+001	1,2137108E+001	2,2240829E+001	-3,3073395E+001	3,0983020E+003	4,7576133E+003	5,6775313E+003
1,0016024E+003	2,1215147E+001	1,2518933E+001	2,4633436E+001	-3,0544603E+001	3,2782502E+003	5,5554707E+003	6,4505952E+003
7,9525409E+002	2,3697783E+001	1,2660739E+001	2,6867809E+001	-2,8113735E+001	3,5100132E+003	6,5698794E+003	7,4487251E+003
6,3181964E+002	2,6251984E+001	1,2444014E+001	2,9052025E+001	-2,5361973E+001	3,7139375E+003	7,8349521E+003	8,6706289E+003
5,0208865E+002	2,8670721E+001	1,2010964E+001	3,1084940E+001	-2,2730169E+001	3,9401936E+003	9,4054209E+003	1,0197405E+004
3,9859698E+002	3,0870375E+001	1,1300712E+001	3,2873791E+001	-2,0106152E+001	4,1753452E+003	1,1405870E+004	1,2146085E+004
3,1672299E+002	3,2884766E+001	1,0342644E+001	3,4472858E+001	-1,7458973E+001	4,3733818E+003	1,3905310E+004	1,4576835E+004
2,5169135E+002	3,4388302E+001	9,2507343E+000	3,5610832E+001	-1,5056596E+001	4,6127910E+003	1,7147402E+004	1,7757006E+004
1,9980818E+002	3,5822136E+001	8,2361784E+000	3,6756767E+001	-1,2948339E+001	4,8557686E+003	2,1119502E+004	2,1670529E+004
1,5862943E+002	3,6996117E+001	7,2080336E+000	3,7691753E+001	-1,1024945E+001	5,0905020E+003	2,6127619E+004	2,6618896E+004
1,2600809E+002	3,7913044E+001	6,3009863E+000	3,8433075E+001	-9,4360676E+000	5,3879043E+003	3,2419033E+004	3,2863707E+004
1,0016024E+002	3,8856735E+001	5,4182048E+000	3,9232674E+001	-7,9381704E+000	5,5935103E+003	4,0113934E+004	4,0502039E+004
7,9516548E+001	3,9392368E+001	4,7245216E+000	3,9674675E+001	-6,8390989E+000	6,0074961E+003	5,0089645E+004	5,0448613E+004
6,3160763E+001	4,0026325E+001	4,2143397E+000	4,0247578E+001	-6,0104809E+000	6,5557578E+003	6,2264281E+004	6,2608457E+004
5,0208866E+001	4,0419643E+001	3,3644948E+000	4,0559429E+001	-4,7582798E+000	6,4829961E+003	7,7884055E+004	7,8153406E+004
3,9859695E+001	4,0889053E+001	3,0469627E+000	4,1002422E+001	-4,2616796E+000	7,2365967E+003	9,7112281E+004	9,7381539E+004
3,1672298E+001	4,1240341E+001	2,8550615E+000	4,1339050E+001	-3,9602580E+000	8,3952783E+003	1,2126677E+005	1,2155702E+005
2,5136747E+001	4,1189117E+001	1,9574606E+000	4,1235603E+001	-2,7208622E+000	7,2888589E+003	1,5337297E+005	1,5354606E+005
1,9980818E+001	4,1630138E+001	1,6201577E+000	4,1661652E+001	-2,2287068E+000	7,4351724E+003	1,9104766E+005	1,9119228E+005
1,5857577E+001	4,1857708E+001	2,4217491E+000	4,1927708E+001	-3,3112535E+000	1,3826446E+004	2,3897722E+005	2,3937686E+005
1,2600809E+001	4,2829876E+001	1,7480315E+000	4,2865532E+001	-2,3371367E+000	1,2015844E+004	2,9440969E+005	2,9465478E+005
1,0016025E+001	4,1954647E+001	9,5503533E-001	4,1965515E+001	-1,3040283E+000	8,6170791E+003	3,7854691E+005	3,7864497E+005
7,9557004E+000	4,3098766E+001	1,2024249E+000	4,3115536E+001	-1,5980970E+000	1,2939949E+004	4,6380878E+005	4,6398925E+005
6,3105812E+000	4,2002232E+001	1,1358345E+000	4,2017586E+001	-1,5490289E+000	1,6225684E+004	6,0001338E+005	6,0023275E+005
5,0144420E+000	4,2893177E+001	2,3275013E+000	4,2956280E+001	-3,1059799E+000	4,0034473E+004	7,3778938E+005	7,3887475E+005
3,9859698E+000	4,3283730E+001	1,4923215E+000	4,3309448E+001	-1,9746418E+000	3,1767480E+004	9,2139425E+005	9,2194175E+005
3,1655185E+000	4,3892754E+001	6,5685689E-001	4,3897667E+001	-8,5736972E-001	1,7138092E+004	1,1452101E+006	1,1453384E+006
2,5136747E+000	4,3684696E+001	1,2999911E+000	4,3704037E+001	-1,7045335E+000	4,3093234E+004	1,4480959E+006	1,4487369E+006
1,9970603E+000	4,3899181E+001	1,5475966E+000	4,3926453E+001	-2,0190363E+000	6,3919621E+004	1,8131473E+006	1,8142736E+006
1,5846856E+000	4,4279003E+001	1,1847024E-001	4,4279163E+001	-1,5329677E-001	6,0686113E+003	2,2681725E+006	2,2681805E+006
1,2596742E+000	4,4052402E+001	2,4770492E-001	4,4053101E+001	-3,2216850E-001	1,6126525E+004	2,8679963E+006	2,8680415E+006
1,0000639E+000	4,5167542E+001	1,1084732E-001	4,5167679E+001	-1,4061140E-001	8,6468301E+003	3,5234110E+006	3,5234215E+006
7,9882401E-001	5,1358967E+001	-3,1210995E-001	5,1359917E+001	3,4818384E-001	-2,3573637E+004	3,8791510E+006	3,8792228E+006
6,2907392E-001	5,3307743E+001	1,6691432E+000	5,3333870E+001	-1,7934284E+000	1,4845863E+005	4,7413565E+006	4,7436800E+006
4,9926502E-001	5,4206707E+001	-1,2929672E+000	5,4222126E+001	1,3663902E+000	-1,4019245E+005	5,8774505E+006	5,8791220E+006
3,9941201E-001	5,3538750E+001	-8,2529798E-002	5,3538815E+001	8,8321179E-002	-1,1472446E+004	7,4426865E+006	7,4426955E+006
3,1952962E-001	5,1641270E+001	2,8231981E+000	5,1718384E+001	-3,1292119E+000	5,2572713E+005	9,6164770E+006	9,6308370E+006
2,4963251E-001	5,0123573E+001	-1,2278080E-001	5,0123722E+001	1,4034928E-001	-3,1157750E+004	1,2719627E+007	1,2719665E+007
1,9970600E-001	5,3969624E+001	5,6921949E+000	5,4268970E+001	-6,0207467E+000	1,5403004E+006	1,4604115E+007	1,4685118E+007
1,5976481E-001	4,8873493E+001	-3,2895782E+000	4,8984077E+001	3,8506575E+000	-1,3657431E+006	2,0290958E+007	2,0336868E+007
1,2980890E-001	5,0795918E+001	-1,6177335E+000	5,0821671E+001	1,8241227E+000	-7,6793419E+005	2,4112740E+007	2,4124966E+007
9,9853002E-002	5,4973999E+001	5,1176867E+000	5,5211697E+001	-5,3184991E+000	2,6759028E+006	2,8744462E+007	2,8868746E+007
7,9882406E-002	4,8546665E+001	5,0552382E+000	4,8809162E+001	-5,9448709E+000	4,2277365E+006	4,0599972E+007	4,0819500E+007
5,9911802E-002	5,3047112E+001	3,1299744E+000	5,3139370E+001	-3,3767464E+000	2,9445290E+006	4,9904156E+007	4,9990948E+007
4,9926501E-002	4,8262978E+001	-6,6763598E-001	4,8267593E+001	7,9253888E-001	-9,1352169E+005	6,6037676E+007	6,6043996E+007
3,9941203E-002	5,4724228E+001	7,7242005E-001	5,4729679E+001	-8,0866325E-001	1,0275578E+006	7,2800240E+007	7,2807488E+007
2,9955901E-002	4,9565159E+001	4,7101269E+000	4,9788456E+001	-5,4284587E+000	1,0095157E+007	1,0623238E+008	1,0671098E+008
1,9970601E-002	5,6390156E+001	5,5985446E+000	5,6667393E+001	-5,6698766E+000	1,3894331E+007	1,3994773E+008	1,4063576E+008
9,9853007E-003	5,1362488E+001	-3,7991428E+000	5,1502804E+001	4,2303085E+000	-2,2828790E+007	3,0863370E+008	3,0947683E+008
