freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	Re(C)/nF	Im(C)/nF	|C|/nF	
1,9999814E+005	7,7133498E+000	-4,2345771E-001	7,7249646E+000	3,1423454E+000	-5,6469216E+000	1,0285944E+002	1,0301434E+002
1,5885727E+005	7,3544927E+000	-2,4961630E-002	7,3545351E+000	1,9446488E-001	-4,6235678E-001	1,3622453E+002	1,3622531E+002
1,2618765E+005	7,2213793E+000	2,2812685E-001	7,2249818E+000	-1,8093995E+000	5,5119705E+000	1,7448172E+002	1,7456876E+002
1,0022640E+005	7,1866956E+000	3,9812505E-001	7,1977148E+000	-3,1708026E+000	1,2203032E+001	2,2028148E+002	2,2061923E+002
7,9609563E+004	7,1839304E+000	5,3787488E-001	7,2040381E+000	-4,2818575E+000	2,0719746E+001	2,7673560E+002	2,7751016E+002
6,3233004E+004	7,1936679E+000	6,7783630E-001	7,2255325E+000	-5,3829045E+000	3,2678444E+001	3,4680627E+002	3,4834247E+002
5,0224539E+004	7,2216320E+000	8,3791906E-001	7,2700810E+000	-6,6183801E+000	5,0237453E+001	4,3297324E+002	4,3587799E+002
3,9897566E+004	7,2917209E+000	1,0148928E+000	7,3620105E+000	-7,9237657E+000	7,4696648E+001	5,3667444E+002	5,4184778E+002
3,1686090E+004	7,3497405E+000	1,2525890E+000	7,4557137E+000	-9,6717815E+000	1,1318313E+002	6,6411768E+002	6,7369336E+002
2,5172580E+004	7,4234452E+000	1,5198073E+000	7,5774240E+000	-1,1570319E+001	1,6735466E+002	8,1743787E+002	8,3439331E+002
1,9995176E+004	7,5388412E+000	1,8527911E+000	7,7631798E+000	-1,3807698E+001	2,4470462E+002	9,9568097E+002	1,0253102E+003
1,5884798E+004	7,6797051E+000	2,2619019E+000	8,0058775E+000	-1,6411272E+001	3,5358539E+002	1,2005082E+003	1,2514961E+003
1,2618766E+004	7,8723679E+000	2,7514448E+000	8,3393421E+000	-1,9264860E+001	4,9900000E+002	1,4277267E+003	1,5124167E+003
1,0020785E+004	8,1338940E+000	3,3583572E+000	8,7999315E+000	-2,2434961E+001	6,8878967E+002	1,6682391E+003	1,8048416E+003
