Relative Pressure (p/p°)	Absolute Pressure (mmHg)	Quantity Adsorbed (cm³/g STP)	
0.00962913047670077	7.43850946426392	25.7296436304293	
0.0293692949009656	22.6864910125732	29.9197338298321	
0.0626725872805871	48.4090309143066	33.8740784394812	
0.0834349666134329	64.4429473876953	35.8256482348389	
0.0992950731936946	76.6897125244141	37.2285390214727	
0.119137103552659	92.0115051269531	38.8599849984859	
0.138598465379964	107.03653717041	40.4688017133926	
0.158474498340464	122.381317138672	42.0418510879894	
0.178745201064412	138.029602050781	43.598709859913	
0.198925431403432	153.608001708984	45.1304962988964	
0.248425043712474	191.818405151367	48.9485909910635	
0.300580207667021	232.077911376953	52.9768452185758	
0.353060286440353	272.584289550781	57.1980115292787	
0.400442850871758	309.148712158203	61.2794821894308	
0.451637374777363	348.651641845703	65.8710545570811	
0.500556705454304	386.381103515625	70.5735341953161	
0.550686122169443	425.044250488281	75.7360746214228	
0.600341920792398	463.336059570313	81.2970287555028	
0.651129102755955	502.495239257813	87.3973715792616	
0.701051897995231	540.976440429688	93.8065018949513	
0.752961468954368	580.984130859375	100.461779072482	
0.804336692781314	620.57861328125	106.327652244862	
0.818776015750602	631.695434570313	107.714033212196	
0.851085748810213	656.585815429688	110.264189749746	
0.877160661417553	676.676391601563	111.581289219115	
0.899211016418924	693.673889160156	112.275287104288	
0.925876722838211	714.231079101563	112.697145866099	
0.949638588171405	732.547485351563	112.899111327504	
0.97563131016576	752.584045410156	113.055864716506	
0.996942479523027	768.950927734375	113.376380250249	
0.974001592210984	751.242309570313	113.147129912387	
0.933865361989044	720.278686523438	112.952192294327	
0.9085497637896	700.739929199219	112.803678302922	
0.900603267624325	694.6044921875	112.73773121535	
0.873714417577392	673.853393554688	112.600440728762	
0.851003278416471	656.331237792969	112.467195445907	
0.8247819485908	636.096252441406	112.317561266725	
0.800393666804073	617.281494140625	112.159148022357	
0.750418623586812	578.728759765625	111.832153057189	
0.699742548045285	539.636840820313	111.444948161161	
0.649456892965798	500.847473144531	111.008741250422	
0.600945761810221	463.419311523438	110.381807531603	
0.555136008061216	428.024810791016	99.2673060733928	
0.503084402579173	387.884338378906	79.7816684953558	
0.427083165113343	329.286437988281	64.4206619377028	
0.404604303835226	311.954956054688	62.027163824454	
0.342766872900417	264.277526855469	56.5410447400155	
0.303934792232084	234.337509155273	53.3874600712659	
0.251233547293328	193.704193115234	49.223069163386	
0.20008056640625	154.264862060547	45.2373821420387	
0.140591638017813	108.397903442383	40.5907708822559	
