Relative Pressure (p/p°)	Absolute Pressure (mmHg)	Quantity Adsorbed (cm³/g STP)	
0.0108457493965677	8.3397216796875	3.79617427843083	
0.0322433464168065	24.7926044464111	4.45572393506701	
0.0668446312465356	51.3976898193359	5.01854097834103	
0.0798490242482325	61.3955268859863	5.18894327318337	
0.100222327386181	77.0595779418945	5.42277413825971	
0.120320348502035	92.5116119384766	5.63673303232095	
0.140225987692072	107.814140319824	5.84628279799241	
0.160235155220433	123.196975708008	6.03677284451322	
0.18022770334108	138.566680908203	6.22086112893615	
0.200344208423407	154.029571533203	6.4077468421789	
0.249949385586974	192.165054321289	6.85128457170563	
0.300903930419697	231.337066650391	7.30387144115191	
0.351044773186958	269.879516601563	7.73409900556869	
0.40089814074231	308.202728271484	8.17917515633814	
0.451168917182752	346.841979980469	8.63855798805283	
0.501285600455568	385.365417480469	9.10934870155333	
0.551331226730378	423.828491210938	9.6282416233881	
0.601600708315057	462.461883544922	10.1917514038159	
0.651555128600043	500.857055664063	10.8198393577969	
0.701622787296824	539.332214355469	11.5668212159554	
0.751604921045589	577.739868164063	12.5054090726667	
0.8015166903016	616.091674804688	13.7779753083676	
0.821857938799582	631.712646484375	14.4473303873206	
0.851476863282475	654.463928222656	15.6374638018267	
0.875975177415757	673.278442382813	16.9532824395184	
0.901078785267364	692.549377441406	18.7281071571717	
0.925481810126323	711.272399902344	21.2011388011041	
0.948658518812954	729.05126953125	25.3297701669719	
0.973332900926957	747.962280273438	32.5439210059676	
0.98118935317367	753.94775390625	37.5582824289822	
0.990298888911697	760.895202636719	45.0288649894566	
0.995166271625027	764.582458496094	51.4289502412946	
0.983734447995871	755.7734375	48.4330737170077	
0.97696938856232	750.541625976563	44.6659386924734	
0.970975517424292	745.894165039063	41.1640529019603	
0.956790305635895	734.946655273438	33.968022307065	
0.92245726716557	708.509155273438	23.9385024246988	
0.896499162129861	688.532104492188	20.3055054587592	
0.867638638745366	666.343627929688	17.690167061749	
0.853911269475675	655.786010742188	16.8002730639626	
0.826634932092202	634.823791503906	15.3972821697111	
0.799457030088582	613.952209472656	14.3350020524835	
0.74902491845477	575.222290039063	12.9173783601974	
0.699459024957398	537.157592773438	11.8967305460756	
0.649456247241657	498.757385253906	11.0802047897383	
0.599238723090034	460.192260742188	10.3970535194477	
0.549309064071928	421.848205566406	9.80060110519966	
0.499468180689972	383.572326660156	9.24060104883078	
0.450068359375	345.635559082031	8.55855608004048	
0.398187896137433	305.79296875	8.03536151292194	
0.350054931640625	268.82958984375	7.5852572767038	
0.299217109361967	229.787216186523	7.12109694652138	
0.24945015931531	191.568115234375	6.65907648859896	
0.199566795559565	153.259613037109	6.1944235594319	
0.139712783397541	107.294036865234	5.6075519948164	
