time/s	<Ewe/V>	I/mA	
2,095239947069786E+001	7,0999265E-001	1,9965969E+000
2,105239946817164E+001	7,0974851E-001	2,0073991E+000
2,115239946564543E+001	7,0985502E-001	1,9921488E+000
2,125239946311922E+001	7,0962459E-001	1,9953259E+000
2,135239946059301E+001	7,0983166E-001	1,9940550E+000
2,145239945806679E+001	7,0957142E-001	1,9870653E+000
2,155239945554058E+001	7,0962268E-001	1,9940550E+000
2,165239945301437E+001	7,0950544E-001	1,9959613E+000
2,175239945048816E+001	7,0959598E-001	1,9953259E+000
2,185239944796194E+001	7,1003336E-001	1,9959613E+000
2,195239944543573E+001	7,0948339E-001	1,9965969E+000
2,205239944290952E+001	7,0978206E-001	1,9991385E+000
2,215239944038331E+001	7,0951319E-001	1,9946904E+000
2,225239943785709E+001	7,0957685E-001	1,9940550E+000
2,235239943533088E+001	7,0946622E-001	1,9896070E+000
2,245239943280467E+001	7,0956743E-001	1,9940550E+000
2,255239943027846E+001	7,0967501E-001	2,0004094E+000
2,265239942775224E+001	7,0950192E-001	1,9959613E+000
2,275239942522603E+001	7,0990014E-001	1,9953259E+000
2,285239942269982E+001	7,0956361E-001	1,9915133E+000
2,295239942017361E+001	7,0968300E-001	1,9883362E+000
2,305239941764739E+001	7,0949084E-001	1,9864298E+000
2,315239941512118E+001	7,0949662E-001	1,9902425E+000
2,325239941259497E+001	7,0957077E-001	1,9940550E+000
2,335239941006876E+001	7,0967734E-001	1,9940550E+000
2,345239940754254E+001	7,0929903E-001	1,9972322E+000
2,355239940501633E+001	7,0941418E-001	1,9972322E+000
2,365239940249012E+001	7,0947957E-001	1,9896070E+000
2,375239939996391E+001	7,0954919E-001	1,9953259E+000
2,385239939743769E+001	7,0947307E-001	1,9883362E+000
2,395239939491148E+001	7,0938075E-001	1,9864298E+000
2,405239939238527E+001	7,0922673E-001	1,9959613E+000
2,415239938985906E+001	7,0939678E-001	1,9965969E+000
2,425239938733284E+001	7,0931554E-001	1,9934196E+000
2,435239938480663E+001	7,0959610E-001	1,9940550E+000
2,445239938228042E+001	7,0934516E-001	1,9915133E+000
2,455239937975421E+001	7,0929146E-001	1,9946904E+000
2,465239937722799E+001	7,0925742E-001	1,9902425E+000
2,475239937470178E+001	7,0919621E-001	1,9946904E+000
2,485239937217557E+001	7,0907730E-001	1,9896070E+000
2,495239936964936E+001	7,0943522E-001	1,9985032E+000
2,505239936712314E+001	7,0938742E-001	1,9877007E+000
2,515239936459693E+001	7,0905173E-001	1,9965969E+000
2,525239936207072E+001	7,0934695E-001	2,0016801E+000
2,535239935954451E+001	7,0897192E-001	1,9902425E+000
2,545239935701829E+001	7,0941430E-001	1,9953259E+000
2,555239935449208E+001	7,0917863E-001	1,9877007E+000
2,565239935196587E+001	7,0915920E-001	1,9902425E+000
2,575239934943966E+001	7,0912766E-001	1,9896070E+000
2,585239934691344E+001	7,0925975E-001	1,9959613E+000
2,595239934438723E+001	7,0938176E-001	1,9978676E+000
2,605239934186102E+001	7,0936030E-001	1,9953259E+000
2,615239933933481E+001	7,0931983E-001	1,9946904E+000
2,625239933680859E+001	7,0914525E-001	1,9940550E+000
2,635239933428238E+001	7,0922238E-001	1,9972322E+000
2,645239933175617E+001	7,0921755E-001	1,9921488E+000
2,655239932922996E+001	7,0925850E-001	1,9953259E+000
2,665239932670374E+001	7,0936471E-001	1,9889716E+000
2,675239932417753E+001	7,0924121E-001	1,9965969E+000
2,685239932165132E+001	7,0902586E-001	1,9927841E+000
2,695239931912511E+001	7,0946491E-001	1,9953259E+000
2,705239931659889E+001	7,0926410E-001	1,9851590E+000
2,715239931407268E+001	7,0886570E-001	1,9940550E+000
2,725239931154647E+001	7,0917851E-001	2,0010448E+000
2,735239930902026E+001	7,0889032E-001	1,9902425E+000
2,745239930649404E+001	7,0904273E-001	1,9959613E+000
2,755239930396783E+001	7,0939153E-001	1,9946904E+000
2,765239930144162E+001	7,0869315E-001	1,9959613E+000
2,775239929891541E+001	7,0891261E-001	1,9959613E+000
2,785239929638919E+001	7,0903856E-001	1,9921488E+000
2,795239929386298E+001	7,0897365E-001	1,9908779E+000
2,805239929133677E+001	7,0915437E-001	2,0004094E+000
2,815239928881056E+001	7,0896077E-001	1,9946904E+000
2,825239928628434E+001	7,0897686E-001	1,9953259E+000
2,835239928375813E+001	7,0898175E-001	2,0010448E+000
2,845239928123192E+001	7,0901018E-001	1,9946904E+000
2,855239927870571E+001	7,0884794E-001	1,9915133E+000
2,865239927617949E+001	7,0894712E-001	1,9934196E+000
2,875239927365328E+001	7,0914829E-001	1,9978676E+000
2,885239927112707E+001	7,0910060E-001	1,9965969E+000
2,895239926860086E+001	7,0877737E-001	1,9972322E+000
2,905239926607464E+001	7,0882291E-001	1,9921488E+000
2,915239926354843E+001	7,0889103E-001	1,9915133E+000
2,925239926102222E+001	7,0910603E-001	1,9940550E+000
2,935239925849601E+001	7,0889193E-001	1,9991385E+000
2,945239925596979E+001	7,0900005E-001	2,0042222E+000
2,955239925344358E+001	7,0898300E-001	1,9946904E+000
2,965239925091737E+001	7,0902669E-001	1,9915133E+000
2,975239924839116E+001	7,0891106E-001	2,0029511E+000
2,985239924586494E+001	7,0903146E-001	2,0010448E+000
2,995239924333873E+001	7,0868862E-001	1,9991385E+000
3,005239924081252E+001	7,0892686E-001	1,9908779E+000
3,015239923828631E+001	7,0872855E-001	1,9978676E+000
3,025239923576009E+001	7,0896834E-001	1,9857944E+000
3,035239923323388E+001	7,0855290E-001	1,9921488E+000
3,045239923070767E+001	7,0881301E-001	1,9927841E+000
3,055239922818146E+001	7,0921481E-001	1,9985032E+000
3,065239922565524E+001	7,0903718E-001	1,9965969E+000
3,075239922312903E+001	7,0880413E-001	1,9997739E+000
3,085239922060282E+001	7,0901448E-001	1,9978676E+000
3,095239921807661E+001	7,0895195E-001	1,9946904E+000
3,105239921555039E+001	7,0897377E-001	1,9972322E+000
3,115239921302418E+001	7,0891964E-001	1,9927841E+000
3,125239921049797E+001	7,0869964E-001	1,9946904E+000
3,135239920797176E+001	7,0897937E-001	1,9965969E+000
3,145239920544554E+001	7,0864958E-001	1,9896070E+000
3,155239920291933E+001	7,0886159E-001	1,9940550E+000
