Ewe/V	<I>/mA	
2,1265426E-001	-1,924715221958762E-002
2,1362278E-001	-1,900759859426604E-002
2,1461146E-001	-1,880880982164698E-002
2,1559696E-001	-1,859775313325102E-002
2,1662064E-001	-1,837030266131257E-002
2,1765493E-001	-1,816270328728721E-002
2,1868502E-001	-1,796531842603365E-002
2,1964929E-001	-1,776149286796144E-002
2,2065601E-001	-1,752865830895131E-002
2,2163834E-001	-1,734182583746263E-002
2,2267051E-001	-1,713025185019258E-002
2,2365919E-001	-1,694104580888151E-002
2,2461498E-001	-1,673906806778785E-002
2,2560048E-001	-1,654536607189536E-002
2,2659023E-001	-1,636162788402332E-002
2,2761922E-001	-1,616775856512792E-002
2,2862697E-001	-1,598612642268893E-002
2,2966234E-001	-1,577997165140768E-002
2,3064788E-001	-1,557696198523487E-002
2,3167472E-001	-1,537198251440108E-002
2,3267508E-001	-1,518607212960738E-002
2,3365530E-001	-1,503876828648731E-002
2,3465884E-001	-1,485396919311648E-002
2,3565599E-001	-1,465296404079330E-002
2,3661813E-001	-1,446491600803043E-002
2,3767576E-001	-1,429568501302860E-002
2,3862964E-001	-1,412499513006374E-002
2,3964041E-001	-1,398266416479665E-002
2,4065033E-001	-1,380058899764691E-002
2,4164854E-001	-1,363723407538556E-002
2,4264996E-001	-1,344715816017909E-002
2,4365562E-001	-1,329421004464709E-002
2,4466020E-001	-1,314136448824174E-002
2,4563296E-001	-1,298060173658727E-002
2,4665879E-001	-1,282384273975717E-002
2,4765384E-001	-1,267975497193100E-002
2,4862236E-001	-1,253593468137382E-002
2,4964075E-001	-1,235029639772829E-002
2,5065702E-001	-1,220581148483929E-002
2,5165311E-001	-1,204777138616283E-002
2,5264326E-001	-1,191373127443690E-002
2,5360823E-001	-1,175897649169660E-002
2,5464886E-001	-1,162182267121981E-002
2,5566304E-001	-1,147286749926407E-002
2,5665274E-001	-1,132022549432299E-002
2,5762975E-001	-1,117257742442732E-002
2,5863755E-001	-1,103597306077529E-002
2,5961348E-001	-1,090511843409549E-002
2,6063082E-001	-1,076104115044580E-002
2,6165980E-001	-1,060252097412065E-002
2,6262411E-001	-1,046361504642659E-002
2,6363611E-001	-1,032891136537627E-002
2,6463857E-001	-1,019456134014871E-002
2,6560584E-001	-1,008086943279968E-002
2,6667961E-001	-9,931089522585271E-003
2,6761845E-001	-9,808945584785678E-003
2,6864317E-001	-9,670021625519692E-003
2,6966581E-001	-9,532563237218905E-003
2,7060038E-001	-9,412703975914198E-003
2,7168030E-001	-9,289383870755898E-003
2,7263400E-001	-9,162455047491289E-003
2,7363008E-001	-9,034857335181001E-003
2,7462301E-001	-8,915590150258014E-003
2,7564353E-001	-8,792089439992976E-003
2,7664068E-001	-8,667082292761086E-003
2,7759647E-001	-8,541345414430995E-003
2,7862760E-001	-8,433061773976402E-003
2,7961761E-001	-8,320996701372124E-003
2,8065059E-001	-8,194788465291661E-003
2,8158835E-001	-8,092220619615453E-003
2,8262690E-001	-7,978988886344088E-003
2,8363255E-001	-7,855109988696984E-003
2,8465518E-001	-7,746091522191939E-003
2,8566402E-001	-7,645133792413709E-003
2,8662828E-001	-7,528227002253279E-003
2,8762761E-001	-7,420193446724076E-003
2,8866187E-001	-7,312169430651772E-003
2,8963464E-001	-7,201560923754152E-003
2,9062334E-001	-7,080677718683301E-003
2,9166615E-001	-6,981631119979986E-003
2,9264441E-001	-6,882530586741372E-003
