EC-Lab ASCII FILE
Ewe/V	<I>/mA	cycle number	
7,7162653E-002	-3,246048092842102E-002	1,000000000000000E+000
7,8022949E-002	1,940744921012089E-002	1,000000000000000E+000
8,0859579E-002	1,842928459935447E-002	1,000000000000000E+000
8,0941252E-002	-2,120977766753634E-002	1,000000000000000E+000
8,1583053E-002	1,385389857498212E-002	1,000000000000000E+000
8,3460711E-002	1,110584386325782E-002	1,000000000000000E+000
8,3943374E-002	-6,166428585528488E-003	1,000000000000000E+000
8,4835514E-002	1,091070679093618E-002	1,000000000000000E+000
8,6203977E-002	8,937366642385286E-003	1,000000000000000E+000
8,6944431E-002	1,894340751214762E-003	1,000000000000000E+000
8,7946892E-002	1,005976954082954E-002	1,000000000000000E+000
8,9098953E-002	8,667844882539771E-003	1,000000000000000E+000
9,0002768E-002	5,942109618445109E-003	1,000000000000000E+000
9,1013737E-002	1,019148870060846E-002	1,000000000000000E+000
9,2091523E-002	9,003544059649149E-003	1,000000000000000E+000
9,2991099E-002	8,533438839650548E-003	1,000000000000000E+000
9,4011605E-002	1,036501475199560E-002	1,000000000000000E+000
9,5054381E-002	1,007278607943993E-002	1,000000000000000E+000
9,6061096E-002	1,004738999330990E-002	1,000000000000000E+000
9,7010538E-002	1,058512326522354E-002	1,000000000000000E+000
9,8015130E-002	1,052082087880990E-002	1,000000000000000E+000
9,9013358E-002	1,133568020345089E-002	1,000000000000000E+000
1,0006039E-001	1,138640126656462E-002	1,000000000000000E+000
1,0100664E-001	1,139524324308797E-002	1,000000000000000E+000
1,0202396E-001	1,207297232031121E-002	1,000000000000000E+000
1,0300521E-001	1,202755707648367E-002	1,000000000000000E+000
1,0403210E-001	1,170225700156557E-002	1,000000000000000E+000
1,0501546E-001	1,275880125912310E-002	1,000000000000000E+000
1,0604022E-001	1,280637426922718E-002	1,000000000000000E+000
1,0702678E-001	1,265173606589086E-002	1,000000000000000E+000
1,0798682E-001	1,314790959602558E-002	1,000000000000000E+000
1,0903703E-001	1,316152678595650E-002	1,000000000000000E+000
1,0999919E-001	1,292638623716708E-002	1,000000000000000E+000
1,1097727E-001	1,364779695904872E-002	1,000000000000000E+000
1,1201794E-001	1,391282621807477E-002	1,000000000000000E+000
1,1299177E-001	1,351912042547256E-002	1,000000000000000E+000
1,1401228E-001	1,423059264804277E-002	1,000000000000000E+000
1,1506673E-001	1,425269887679158E-002	1,000000000000000E+000
1,1598008E-001	1,419525748739645E-002	1,000000000000000E+000
1,1703242E-001	1,445218686058070E-002	1,000000000000000E+000
1,1804125E-001	1,454563486529675E-002	1,000000000000000E+000
1,1899812E-001	1,480578283291026E-002	1,000000000000000E+000
1,2002499E-001	1,478367650674454E-002	1,000000000000000E+000
1,2100094E-001	1,502189528218877E-002	1,000000000000000E+000
1,2200660E-001	1,523397530561649E-002	1,000000000000000E+000
1,2299422E-001	1,460155524505866E-002	1,000000000000000E+000
1,2398289E-001	1,554473752791335E-002	1,000000000000000E+000
1,2498750E-001	1,576696884108563E-002	1,000000000000000E+000
1,2602711E-001	1,512623670835943E-002	1,000000000000000E+000
1,2696485E-001	1,580541604966534E-002	1,000000000000000E+000
1,3559926E-001	1,717923029888119E-002	1,000000000000000E+000
1,4403872E-001	1,724974863888445E-002	1,000000000000000E+000
1,4502211E-001	1,771317179817639E-002	1,000000000000000E+000
1,4604579E-001	1,752992544566549E-002	1,000000000000000E+000
1,4700371E-001	1,778746193910292E-002	1,000000000000000E+000
1,4799134E-001	1,755221197203758E-002	1,000000000000000E+000
1,4900018E-001	1,765904773270048E-002	1,000000000000000E+000
1,4999309E-001	1,806693010075830E-002	1,000000000000000E+000
1,5104544E-001	1,815536866443934E-002	1,000000000000000E+000
1,5200125E-001	1,808673937759725E-002	1,000000000000000E+000
1,5298566E-001	1,834144488020684E-002	1,000000000000000E+000
1,5404648E-001	1,811857867586597E-002	1,000000000000000E+000
1,5501714E-001	1,818720660533771E-002	1,000000000000000E+000
1,5601642E-001	1,862940425518089E-002	1,000000000000000E+000
1,5699556E-001	1,831562030646536E-002	1,000000000000000E+000
1,5802349E-001	1,862303702182547E-002	1,000000000000000E+000
1,5898883E-001	1,856218881948737E-002	1,000000000000000E+000
1,6000509E-001	1,855546892390225E-002	1,000000000000000E+000
1,6098531E-001	1,865522911793963E-002	1,000000000000000E+000
1,6197291E-001	1,869944799262963E-002	1,000000000000000E+000
1,6299555E-001	1,895203027460307E-002	1,000000000000000E+000
1,6398424E-001	1,927112024491690E-002	1,000000000000000E+000
1,6499199E-001	1,895839838289248E-002	1,000000000000000E+000
1,6600192E-001	1,912218789746273E-002	1,000000000000000E+000
1,6700014E-001	1,913739865024888E-002	1,000000000000000E+000
1,6804078E-001	1,910980620575886E-002	1,000000000000000E+000
1,6900827E-001	1,943915549923589E-002	1,000000000000000E+000
1,7001711E-001	1,924494144461480E-002	1,000000000000000E+000
1,7099623E-001	1,963725903240424E-002	1,000000000000000E+000
1,7198385E-001	1,984243758407617E-002	1,000000000000000E+000
1,7300966E-001	1,928916130843100E-002	1,000000000000000E+000
1,7395274E-001	1,938290739882281E-002	1,000000000000000E+000
1,7499657E-001	1,958065746617244E-002	1,000000000000000E+000
1,7598528E-001	1,961320313158565E-002	1,000000000000000E+000
1,7698985E-001	2,016081966859129E-002	1,000000000000000E+000
1,7800720E-001	1,974940039003242E-002	1,000000000000000E+000
1,7901073E-001	2,000092250576324E-002	1,000000000000000E+000
1,7999727E-001	2,025668815177695E-002	1,000000000000000E+000
1,8101461E-001	2,006212294145374E-002	1,000000000000000E+000
1,8197571E-001	2,017532359039048E-002	1,000000000000000E+000
1,8303123E-001	2,024076898507901E-002	1,000000000000000E+000
1,8404113E-001	2,014419320201138E-002	1,000000000000000E+000
1,8504466E-001	2,057719224871510E-002	1,000000000000000E+000
1,8598665E-001	2,011695513323911E-002	1,000000000000000E+000
1,8703900E-001	2,038191892279428E-002	1,000000000000000E+000
1,8799374E-001	2,065537351316174E-002	1,000000000000000E+000
1,8901530E-001	2,028180456424401E-002	1,000000000000000E+000
1,9005491E-001	2,074239820285587E-002	1,000000000000000E+000
1,9101599E-001	2,076114733629056E-002	1,000000000000000E+000
1,9196860E-001	2,069039561239255E-002	1,000000000000000E+000
2,0050652E-001	2,240257849550725E-002	1,000000000000000E+000
2,0907538E-001	2,377351553918236E-002	1,000000000000000E+000
2,1008314E-001	2,000842544738485E-002	1,000000000000000E+000
2,1097319E-001	2,180211903719792E-002	1,000000000000000E+000
2,1207854E-001	2,265804536727956E-002	1,000000000000000E+000
2,1301205E-001	2,057707128026081E-002	1,000000000000000E+000
2,1397211E-001	2,241695933116716E-002	1,000000000000000E+000
2,1504247E-001	2,225118145361192E-002	1,000000000000000E+000
2,1598555E-001	2,152121061266773E-002	1,000000000000000E+000
2,1703364E-001	2,240479233821835E-002	1,000000000000000E+000
2,1800002E-001	2,217237574344233E-002	1,000000000000000E+000
2,1902798E-001	2,198795445292498E-002	1,000000000000000E+000
2,1997954E-001	2,231491743320176E-002	1,000000000000000E+000
2,2101064E-001	2,243740493253840E-002	1,000000000000000E+000
2,2201100E-001	2,224559119592109E-002	1,000000000000000E+000
2,2303362E-001	2,256629352753708E-002	1,000000000000000E+000
2,2399580E-001	2,246952101631913E-002	1,000000000000000E+000
2,2499295E-001	2,232280413752755E-002	1,000000000000000E+000
2,2597207E-001	2,225655648443445E-002	1,000000000000000E+000
2,2698623E-001	2,305854095781491E-002	1,000000000000000E+000
2,2803113E-001	2,261503231622756E-002	1,000000000000000E+000
2,2898801E-001	2,270130092114817E-002	1,000000000000000E+000
2,3000000E-001	2,310476994777373E-002	1,000000000000000E+000
2,3102690E-001	2,272963357083632E-002	1,000000000000000E+000
