EC-Lab ASCII FILE
Ewe/V	<I>/mA	cycle number	
6,3204400E-002	1,964092999696732E-002	1,000000000000000E+000
6,4478956E-002	-7,164560245857700E-003	1,000000000000000E+000
6,5773405E-002	-4,501369035198086E-003	1,000000000000000E+000
6,7081407E-002	-3,356405460282166E-003	1,000000000000000E+000
6,8275094E-002	-2,622484029685714E-003	1,000000000000000E+000
6,9280744E-002	-2,324531759734745E-003	1,000000000000000E+000
7,0277914E-002	-2,083313837054578E-003	1,000000000000000E+000
7,1311139E-002	-1,895334646515388E-003	1,000000000000000E+000
7,2268009E-002	-1,726422917541908E-003	1,000000000000000E+000
7,3275790E-002	-1,577930833365021E-003	1,000000000000000E+000
7,4310087E-002	-1,457850041603065E-003	1,000000000000000E+000
7,5253151E-002	-1,359393412174004E-003	1,000000000000000E+000
7,6291688E-002	-1,259047745002632E-003	1,000000000000000E+000
7,7299468E-002	-1,175421510803668E-003	1,000000000000000E+000
7,8305125E-002	-1,092653021327415E-003	1,000000000000000E+000
7,9299115E-002	-1,018879676983622E-003	1,000000000000000E+000
8,0288857E-002	-9,628641245298126E-004	1,000000000000000E+000
8,1289209E-002	-8,905880592161956E-004	1,000000000000000E+000
8,2289562E-002	-8,357730920478309E-004	1,000000000000000E+000
8,3269753E-002	-7,812750179625599E-004	1,000000000000000E+000
8,4313601E-002	-7,361529616092509E-004	1,000000000000000E+000
8,5281067E-002	-6,837503387268299E-004	1,000000000000000E+000
8,6250968E-002	-6,359264776699628E-004	1,000000000000000E+000
8,7269031E-002	-5,949640767708098E-004	1,000000000000000E+000
8,8248178E-002	-5,599462840985294E-004	1,000000000000000E+000
8,9285649E-002	-5,139955259504930E-004	1,000000000000000E+000
9,0286009E-002	-4,780023428557541E-004	1,000000000000000E+000
9,1311812E-002	-4,495302150644438E-004	1,000000000000000E+000
9,2323832E-002	-4,113103601501196E-004	1,000000000000000E+000
9,3278572E-002	-3,803396432515522E-004	1,000000000000000E+000
9,4257712E-002	-3,459447685490551E-004	1,000000000000000E+000
9,5295191E-002	-3,123806663649235E-004	1,000000000000000E+000
9,6333735E-002	-2,899302980885385E-004	1,000000000000000E+000
9,7286344E-002	-2,611570829963560E-004	1,000000000000000E+000
9,8276086E-002	-2,222679900956721E-004	1,000000000000000E+000
9,9291280E-002	-2,047983500467077E-004	1,000000000000000E+000
1,0030544E-001	-1,736625585424866E-004	1,000000000000000E+000
1,0129625E-001	-1,553298832967002E-004	1,000000000000000E+000
1,0226901E-001	-1,248194064194870E-004	1,000000000000000E+000
1,0328421E-001	-1,021440081648475E-004	1,000000000000000E+000
1,0428457E-001	-8,000800752688624E-005	1,000000000000000E+000
1,0523612E-001	-5,409108255341564E-005	1,000000000000000E+000
1,0631180E-001	-3,100849181060354E-005	1,000000000000000E+000
1,0730790E-001	-5,775831117678824E-006	1,000000000000000E+000
1,0829339E-001	1,816256867531106E-005	1,000000000000000E+000
1,0928208E-001	2,977917438526687E-005	1,000000000000000E+000
1,1029940E-001	5,289993233819593E-005	1,000000000000000E+000
1,1130459E-001	7,373001471271560E-005	1,000000000000000E+000
1,1227889E-001	8,945090361631072E-005	1,000000000000000E+000
1,1329197E-001	1,151206714645791E-004	1,000000000000000E+000
1,1426368E-001	1,281659389852155E-004	1,000000000000000E+000
1,1526298E-001	1,474891155134452E-004	1,000000000000000E+000
1,1627605E-001	1,676508590833237E-004	1,000000000000000E+000
1,1727110E-001	1,806519243824889E-004	1,000000000000000E+000
1,1825448E-001	1,920679314119308E-004	1,000000000000000E+000
1,1927498E-001	2,182569203136430E-004	1,000000000000000E+000
1,2025412E-001	2,294530628014334E-004	1,000000000000000E+000
1,2127464E-001	2,502958295588515E-004	1,000000000000000E+000
1,2226013E-001	2,543227103499416E-004	1,000000000000000E+000
1,2325200E-001	2,748619052931533E-004	1,000000000000000E+000
1,2425977E-001	2,950177578897922E-004	1,000000000000000E+000
1,2526011E-001	3,030124337153071E-004	1,000000000000000E+000
1,2626365E-001	3,242647998991681E-004	1,000000000000000E+000
1,2722687E-001	3,393361580271582E-004	1,000000000000000E+000
1,2825587E-001	3,451196463391550E-004	1,000000000000000E+000
1,2927744E-001	3,727723481637829E-004	1,000000000000000E+000
1,3030642E-001	3,862335119648652E-004	1,000000000000000E+000
1,3130040E-001	3,921095414238206E-004	1,000000000000000E+000
1,3230713E-001	4,132340737138911E-004	1,000000000000000E+000
1,3330218E-001	4,171424865649304E-004	1,000000000000000E+000
1,3430890E-001	4,382486099024797E-004	1,000000000000000E+000
1,3530928E-001	4,416775196384196E-004	1,000000000000000E+000
1,3628945E-001	4,645073045813431E-004	1,000000000000000E+000
1,3725691E-001	4,814391632121592E-004	1,000000000000000E+000
1,3828909E-001	4,933739413967549E-004	1,000000000000000E+000
1,3929687E-001	4,996590982955245E-004	1,000000000000000E+000
1,4027813E-001	5,160456139492488E-004	1,000000000000000E+000
