C:\EC-lab data\Neethu\2024_10_01_Ni90Fe10_ZrO2\CV_ECSA\CV_ECSA_01_CV_C01.mpr
Ewe/V	<I>/mA
6,259723752737045E-002	-2,480905316770077E-002
6,399006396532059E-002	-1,983900544979001E-003
6,494905054569244E-002	-1,101710860440251E-003
6,594727188348770E-002	-7,576453727890699E-004
6,695504486560822E-002	-5,690645862764989E-004
6,796282529830933E-002	-3,990280771741118E-004
6,893772631883621E-002	-2,870090749545993E-004
6,993701308965683E-002	-2,046848610525037E-004
7,095221430063248E-002	-1,272196372383933E-004
7,193347066640854E-002	-5,675475453817516E-005
7,292640209197998E-002	1,057838581070214E-005
7,393523305654526E-002	6,174731161881611E-005
7,493346184492111E-002	1,093747887016099E-004
7,594230026006699E-002	1,470912434047866E-004
7,693310827016830E-002	1,980582718856653E-004
7,791861146688461E-002	2,350835353581715E-004
7,898472994565964E-002	2,579769116150773E-004
7,997023314237595E-002	3,089822334303516E-004
8,094619214534760E-002	3,435478200336313E-004
8,195502310991287E-002	3,546540501323126E-004
8,298401534557343E-002	3,755549153989148E-004
8,392815291881561E-002	4,197603382196900E-004
8,493804931640625E-002	4,404047548036850E-004
8,594369888305664E-002	4,537967941057835E-004
8,694192767143250E-002	4,840031554018435E-004
8,794758468866348E-002	5,235778369436367E-004
8,896597474813461E-002	5,438169634030786E-004
8,996314555406570E-002	5,537530521156394E-004
9,096349775791168E-002	5,640089122220231E-004
9,197337925434113E-002	6,074273655845737E-004
9,296419471502304E-002	6,159014499105449E-004
9,396136552095413E-002	6,383527195213132E-004
9,498824179172516E-002	6,685102908868951E-004
9,601405262947083E-002	6,697276349448790E-004
9,692210704088211E-002	6,910543992599168E-004
9,793625026941299E-002	7,138666968579122E-004
9,895887970924377E-002	7,204676624168217E-004
9,993376582860947E-002	7,404003031065559E-004
1,010115593671799E-001	7,556433430156353E-004
1,019726619124413E-001	7,760048015791625E-004
1,029443740844727E-001	7,786118715229226E-004
1,039638221263886E-001	8,038780555458050E-004
1,048867329955101E-001	8,243574102769578E-004
1,059496700763702E-001	8,271133379909421E-004
1,069680601358414E-001	8,360133612475935E-004
1,079715788364410E-001	8,603642822175017E-004
1,089210212230682E-001	8,713025299079552E-004
1,099500209093094E-001	8,850276601122115E-004
1,109514310956001E-001	8,910656659584966E-004
1,119585856795311E-001	9,157467096542193E-004
1,129500195384026E-001	9,225554480428422E-004
1,139705181121826E-001	9,339903380428663E-004
1,149347871541977E-001	9,489593009372257E-004
1,159574240446091E-001	9,539524340090726E-004
1,169195920228958E-001	9,799156203306007E-004
1,179400980472565E-001	9,915996131713550E-004
1,189627274870873E-001	9,975948125294839E-004
1,199715659022331E-001	1,016507545042740E-003
1,209199354052544E-001	1,017416846294779E-003
1,219022423028946E-001	1,014771495112686E-003
1,229439750313759E-001	1,043257806954943E-003
1,239241734147072E-001	1,053593226793565E-003
1,248969435691834E-001	1,049257491949880E-003
1,259312480688095E-001	1,075509552499118E-003
1,269315928220749E-001	1,089536793713288E-003
1,279945373535156E-001	1,080197517197761E-003
1,289376020431519E-001	1,119107686202336E-003
1,299453824758530E-001	1,116939806205998E-003
1,309446692466736E-001	1,131472620769545E-003
1,319683492183685E-001	1,137178985476790E-003
1,329082399606705E-001	1,148043564824839E-003
1,339807361364365E-001	1,153362340839217E-003
1,349492520093918E-001	1,165526804007404E-003
1,359198987483978E-001	1,163609352792182E-003
1,369484961032867E-001	1,205748879454327E-003
1,379492431879044E-001	1,200363525794260E-003
1,389612704515457E-001	1,219257048433058E-003
1,399690508842468E-001	1,216508484144761E-003
1,409280449151993E-001	1,225881645038070E-003
1,418997496366501E-001	1,237157400709073E-003
1,429372280836105E-001	1,245907016983374E-003
1,439566612243652E-001	1,258652206510549E-003
1,449591219425201E-001	1,261807481815449E-003
1,459722220897675E-001	1,268869709922777E-003
1,469375640153885E-001	1,278320992683900E-003
1,479145884513855E-001	1,289400631925468E-003
1,489128023386002E-001	1,302810391583382E-003
1,499556005001068E-001	1,311499762691798E-003
1,509219855070114E-001	1,325776007636000E-003
1,519318968057632E-001	1,320044651307667E-003
1,529662013053894E-001	1,334061480560707E-003
1,539379060268402E-001	1,331505977951244E-003
1,549170315265656E-001	1,336129276033397E-003
1,559184491634369E-001	1,359732976193639E-003
1,569209247827530E-001	1,380007513592178E-003
1,579149216413498E-001	1,372233430850082E-003
1,589502692222595E-001	1,393372927141076E-003
1,598944067955017E-001	1,381202634638191E-003
1,608915627002716E-001	1,390003936505847E-003
1,618810594081879E-001	1,420407238049946E-003
1,629506200551987E-001	1,418269186321666E-003
1,639318764209747E-001	1,423406744104457E-003
1,649025380611420E-001	1,427506715296442E-003
1,659453064203262E-001	1,439470730227189E-003
1,669085323810577E-001	1,443479335004495E-003
1,678993552923203E-001	1,455639298145392E-003
1,689452975988388E-001	1,474252872581187E-003
1,699117273092270E-001	1,469094762998994E-003
1,709311455488205E-001	1,470145508267033E-003
1,719474196434021E-001	1,480687327790102E-003
1,729063987731934E-001	1,484775560634766E-003
1,738961338996887E-001	1,497293633877708E-003
1,749357432126999E-001	1,499256739542168E-003
1,758894324302673E-001	1,514009043651857E-003
1,769491732120514E-001	1,523824344295224E-003
1,779240667819977E-001	1,526960362715119E-003
1,788968443870544E-001	1,532215793017881E-003
1,799353659152985E-001	1,556442948851912E-003
1,809229850769043E-001	1,560311602140194E-003
1,819275915622711E-001	1,564021042533434E-003
1,829417496919632E-001	1,563928120596626E-003
1,839389204978943E-001	1,581744459144822E-003
1,849488019943237E-001	1,571136269780662E-003
1,859312653541565E-001	1,600500622048515E-003
1,869537532329559E-001	1,575803779503435E-003
1,879275888204575E-001	1,605461623663963E-003
1,889809817075729E-001	1,611806249591740E-003
1,899261623620987E-001	1,610608020941814E-003
1,909413635730743E-001	1,636972216180796E-003
1,919671744108200E-001	1,633831605162145E-003
1,929325163364410E-001	1,639654426509405E-003
1,939275562763214E-001	1,638232196556708E-003
1,949523091316223E-001	1,648796195796519E-003
1,959367394447327E-001	1,675471202689651E-003
1,969636082649231E-001	1,671689509108815E-003
1,979480832815170E-001	1,672628255492890E-003
1,989515870809555E-001	1,699291520809410E-003
1,999180018901825E-001	1,697332895404267E-003
2,009321451187134E-001	1,708285895313531E-003
2,019080817699432E-001	1,714194127325083E-003
2,029529958963394E-001	1,712191307753391E-003
2,039088159799576E-001	1,718176265260097E-003
2,049441635608673E-001	1,729496266374624E-003
2,059402763843536E-001	1,726842004616083E-003
2,069268375635147E-001	1,730605987311857E-003
2,079409658908844E-001	1,750915884595432E-003
2,089423835277557E-001	1,755223654914442E-003
2,099438011646271E-001	1,769799148152943E-003
2,109717428684235E-001	1,747328724714288E-003
2,119328230619431E-001	1,776769134845448E-003
2,129247039556503E-001	1,783677539370497E-003
2,139611244201660E-001	1,783674523957664E-003
2,149200886487961E-001	1,792257845307989E-003
2,159204632043839E-001	1,799526350792065E-003
2,169441431760788E-001	1,808455851763337E-003
2,179508656263351E-001	1,827698781333447E-003
2,189247012138367E-001	1,815807027284150E-003
2,199664264917374E-001	1,846903289939909E-003
