C:\EC-lab data\Neethu\2024_10_01_Ni90Fe10_ZrO2\CV_ECSA\CV_ECSA_07_CV_C01.mpr
Ewe/V	<I>/mA
7,863681018352509E-002	-2,062489464879036E-002
7,814562320709229E-002	-1,378814799191885E-002
7,952999323606491E-002	2,479288598159557E-002
8,104483783245087E-002	1,479801868261653E-003
8,133444190025330E-002	3,738509058924443E-003
8,274533599615097E-002	1,623767606300443E-002
8,370961993932724E-002	3,218389902233158E-003
8,446492254734039E-002	9,817378585214309E-003
8,573260903358459E-002	1,182831687482472E-002
8,661201596260071E-002	6,773522497294633E-003
8,761766552925110E-002	1,182676088279150E-002
8,870289474725723E-002	1,021723795889154E-002
8,962686359882355E-002	9,442346854585698E-003
9,063782542943954E-002	1,176903675635307E-002
9,163393080234528E-002	1,048994267795129E-002
9,261731058359146E-002	1,099849634900038E-002
9,364629536867142E-002	1,192781353812380E-002
9,465301781892776E-002	1,108766421889923E-002
9,564594179391861E-002	1,196583659313752E-002
9,670993685722351E-002	1,179400792959012E-002
9,762755036354065E-002	1,161047183834149E-002
9,864169359207153E-002	1,269623196195527E-002
9,961552917957306E-002	1,204453554196841E-002
1,006498336791992E-001	1,266475182233584E-002
1,016353219747543E-001	1,268049192711060E-002
1,026537045836449E-001	1,268692948138375E-002
1,036031469702721E-001	1,273032952121868E-002
1,046278849244118E-001	1,303815611734332E-002
1,056303754448891E-001	1,344049222967042E-002
1,066720783710480E-001	1,319194541408958E-002
1,076374351978302E-001	1,332716552961859E-002
1,086303666234016E-001	1,373381771190904E-002
1,096519380807877E-001	1,325890189643059E-002
1,106151565909386E-001	1,376031001644959E-002
1,116345971822739E-001	1,397865016042485E-002
1,126264631748199E-001	1,371563678407664E-002
1,136554554104805E-001	1,432839118772082E-002
1,146451979875565E-001	1,387321165445127E-002
1,155861467123032E-001	1,432206010253542E-002
1,166819706559181E-001	1,457951947425805E-002
1,176165491342545E-001	1,409706993642132E-002
1,186667606234550E-001	1,470158198470822E-002
1,196395233273506E-001	1,467516104195157E-002
1,206388249993324E-001	1,446216180314273E-002
1,216550990939140E-001	1,503554809217651E-002
1,226151213049889E-001	1,434572277220370E-002
1,235825866460800E-001	1,492628990369366E-002
1,245988607406616E-001	1,541365632409802E-002
1,256278455257416E-001	1,486138533194512E-002
1,266133636236191E-001	1,509217577505398E-002
1,351736634969711E-001	1,624290720564836E-002
1,436416208744049E-001	1,644494942108096E-002
1,446377187967300E-001	1,668055392231813E-002
1,456847488880157E-001	1,632255121451940E-002
1,466691642999649E-001	1,691403246816964E-002
1,476557403802872E-001	1,652772920028330E-002
1,486094146966934E-001	1,672548037236588E-002
1,496575176715851E-001	1,691509557895191E-002
1,505952626466751E-001	1,680542893094148E-002
1,516157835721970E-001	1,695542368623948E-002
1,526468992233276E-001	1,716201698400255E-002
1,536642014980316E-001	1,687865876718010E-002
1,546306312084198E-001	1,708808167556227E-002
1,556277722120285E-001	1,728264920812866E-002
1,566196531057358E-001	1,706650308066555E-002
1,575998514890671E-001	1,744113132372149E-002
1,586277633905411E-001	1,719208682435336E-002
1,596737354993820E-001	1,732050092727561E-002
1,606072634458542E-001	1,727663492177578E-002
1,616235375404358E-001	1,742521214772647E-002
1,626291871070862E-001	1,759006439412288E-002
1,636221259832382E-001	1,775279177632505E-002
1,645885407924652E-001	1,752921822642539E-002
1,656355410814285E-001	1,780939420677896E-002
1,665849834680557E-001	1,787731573414128E-002
1,676171571016312E-001	1,764666489058683E-002
1,686705648899078E-001	1,788049952281456E-002
1,696221083402634E-001	1,788722151084379E-002
1,706033647060394E-001	1,807506580149092E-002
1,716588735580444E-001	1,816562788412238E-002
1,726348251104355E-001	1,793497789266340E-002
1,736288219690323E-001	1,790703046653008E-002
1,746291667222977E-001	1,805419529935332E-002
1,756369322538376E-001	1,823036550861924E-002
1,766182035207748E-001	1,839556916335520E-002
1,776493191719055E-001	1,823425763056241E-002
1,786231696605682E-001	1,823213396245499E-002
1,796393990516663E-001	1,882821667540058E-002
1,806164234876633E-001	1,829934759330670E-002
1,816411614418030E-001	1,860711582048677E-002
1,826436668634415E-001	1,858766170011625E-002
1,836365610361099E-001	1,845606358943364E-002
1,846475303173065E-001	1,895026231391572E-002
1,856224089860916E-001	1,861843742800473E-002
1,865994334220886E-001	1,836939275664112E-002
1,876294761896133E-001	1,901323050333303E-002
1,886001527309418E-001	1,875321885563608E-002
1,896397322416306E-001	1,893823330586514E-002
1,906454116106033E-001	1,880168417948069E-002
1,916086226701736E-001	1,895839765711574E-002
2,002548128366470E-001	2,044475755731878E-002
2,087397724390030E-001	1,904363188522334E-002
2,095905393362045E-001	1,880682658662006E-002
2,106598764657974E-001	2,105976876757465E-002
2,116262763738632E-001	1,885783024833154E-002
2,125979661941528E-001	1,958182467812242E-002
2,136609256267548E-001	2,049182812859524E-002
2,146135419607162E-001	1,940217860101257E-002
2,156298011541367E-001	2,013115764121824E-002
2,166290730237961E-001	2,012864780893625E-002
2,176400572061539E-001	1,990818351906565E-002
2,186393290758133E-001	2,011082018887272E-002
2,196036130189896E-001	2,012295264365905E-002
2,206272929906845E-001	2,034967602998622E-002
2,216510027647018E-001	2,010664816205254E-002
2,225972414016724E-001	2,027320523686485E-002
2,236601710319519E-001	2,058039619320579E-002
2,246202230453491E-001	1,995257538712591E-002
2,256290614604950E-001	2,034638776118916E-002
2,266410738229752E-001	2,081076130343712E-002
2,276382446289063E-001	2,026291285639859E-002
2,286248207092285E-001	2,069103419853491E-002
2,296145558357239E-001	2,062938377275712E-002
2,306180894374847E-001	2,060883361062016E-002
2,316216230392456E-001	2,103065979948349E-002
2,326644062995911E-001	2,065244562982116E-002
2,336583882570267E-001	2,079466855745216E-002
2,346110194921494E-001	2,105573840526631E-002
2,356463819742203E-001	2,077111122182235E-002
2,366393208503723E-001	2,118579397170434E-002
2,376534491777420E-001	2,075250661679692E-002
2,385975867509842E-001	2,081592722485467E-002
2,396329194307327E-001	2,157532483397512E-002
2,406142055988312E-001	2,079587242284719E-002
2,415996938943863E-001	2,136476704658383E-002
2,426414042711258E-001	2,151052703104356E-002
2,436152547597885E-001	2,092076303274046E-002
2,446368038654327E-001	2,167605919142568E-002
2,456700503826141E-001	2,141690217386993E-002
2,466491907835007E-001	2,142029818989814E-002
2,476622611284256E-001	2,176816433711795E-002
2,486244440078735E-001	2,138460909312317E-002
2,496375143527985E-001	2,173565946577583E-002
2,506601512432098E-001	2,140130433771348E-002
2,515936791896820E-001	2,175033800732418E-002
2,526332437992096E-001	2,207362177958005E-002
2,536070644855499E-001	2,169013762654185E-002
2,546275854110718E-001	2,204263712782351E-002
2,556343078613281E-001	2,194459065867704E-002
2,566399574279785E-001	2,195516631036307E-002
2,576042413711548E-001	2,193670335772263E-002
2,586003541946411E-001	2,234056122688349E-002
2,596144974231720E-001	2,214793482602952E-002
2,606710791587830E-001	2,229097086536866E-002
2,616343200206757E-001	2,231622515925363E-002
2,626335918903351E-001	2,239227077613273E-002
2,636636495590210E-001	2,203464249355941E-002
2,645844221115112E-001	2,264046561888083E-002
2,656494975090027E-001	2,277699297944010E-002
2,666286528110504E-001	2,242109958953936E-002
2,676576375961304E-001	2,282881272306742E-002
2,686346173286438E-001	2,268634040794704E-002
2,696233093738556E-001	2,273345360339996E-002
2,706576287746429E-001	2,290308903118587E-002
2,716027796268463E-001	2,290945619744078E-002
2,726116478443146E-001	2,312606285502428E-002
2,736172676086426E-001	2,287108041774555E-002
2,746516168117523E-001	2,330047314009992E-002
2,756434679031372E-001	2,312387056736048E-002
2,766278982162476E-001	2,278848901834050E-002
2,775974869728088E-001	2,374348576712590E-002
2,785882651805878E-001	2,315531347833005E-002
2,796140909194946E-001	2,347453033831293E-002
2,806271910667419E-001	2,354183948288366E-002
2,815861701965332E-001	2,353200622302321E-002
2,826173305511475E-001	2,401834800912195E-002
2,836452424526215E-001	2,361286425770640E-002
2,846201062202454E-001	2,379137573128304E-002
2,856332063674927E-001	2,390081283576576E-002
2,866335213184357E-001	2,390427942534890E-002
2,876445055007935E-001	2,406698202078889E-002
2,885865569114685E-001	2,372017668353185E-002
