C:\EC-lab data\Neethu\2024_10_01_Ni90Fe10_ZrO2\CV_ECSA\CV_ECSA_03_CV_C01.mpr
Ewe/V	<I>/mA
6,530869007110596E-002	-3,321301937103271E-002
6,515803188085556E-002	-6,973515608681063E-003
6,619444489479065E-002	-5,256759588923562E-003
6,723829358816147E-002	-4,074014242077166E-003
6,820894032716751E-002	-3,272568986681604E-003
6,996898353099823E-002	-2,411606283355161E-003
7,165023684501648E-002	-3,997375921850690E-003
7,263679802417755E-002	-3,741166950728958E-003
7,363715022802353E-002	-3,525374729280068E-003
7,462583482265472E-002	-3,280043745487793E-003
7,641186565160751E-002	-2,482201023440211E-003
7,821138948202133E-002	-6,358686488157324E-004
7,921282202005386E-002	-4,955814361740848E-004
8,019831031560898E-002	-3,596801912293130E-004
8,127504587173462E-002	-2,813527761228803E-004
8,298004418611526E-002	-1,588353370287621E-004
8,468557149171829E-002	1,128645007229226E-004
8,570289611816406E-002	1,927277484002049E-004
8,669263124465942E-002	2,853817309440062E-004
8,766753226518631E-002	3,453174261065029E-004
8,869228512048721E-002	4,443796107504276E-004
8,968309313058853E-002	4,627394175966189E-004
9,073012322187424E-002	5,401178620761333E-004
9,170075505971909E-002	6,294762730350281E-004
9,271065890789032E-002	6,420114894657089E-004
9,370783716440201E-002	7,127527621580386E-004
9,473152458667755E-002	7,811259929945275E-004
9,572762995958328E-002	8,088181912171422E-004
9,671207517385483E-002	8,443856062412027E-004
9,770604968070984E-002	9,069457440899764E-004
9,871595352888107E-002	9,490593041240024E-004
9,968978166580200E-002	1,026893106781147E-003
1,006763428449631E-001	1,025666622960371E-003
1,016947329044342E-001	1,085437850128483E-003
1,026812940835953E-001	1,116062295598878E-003
1,036795228719711E-001	1,157898145821595E-003
1,046565398573875E-001	1,236107873612330E-003
1,056547686457634E-001	1,230062176647253E-003
1,067198365926743E-001	1,278878447717747E-003
1,077000275254250E-001	1,356444341682726E-003
1,087014377117157E-001	1,329643438414982E-003
1,096413210034370E-001	1,369415515910081E-003
1,106894239783287E-001	1,411436162622223E-003
1,116632372140884E-001	1,448456424340194E-003
1,126795038580894E-001	1,509458456692106E-003
1,136607676744461E-001	1,510189718121386E-003
1,147194579243660E-001	1,551576411758212E-003
1,157081350684166E-001	1,614723700590230E-003
1,166809201240540E-001	1,592792409812523E-003
1,177205219864845E-001	1,642776812332169E-003
1,186752542853355E-001	1,687569610920842E-003
1,197190955281258E-001	1,707078858594793E-003
1,207353621721268E-001	1,743651657408109E-003
1,216741874814034E-001	1,735907359842609E-003
1,226490810513496E-001	1,766445160885477E-003
1,236939802765846E-001	1,839275007821720E-003
1,246985718607903E-001	1,812467046167714E-003
1,256936192512512E-001	1,866227931309876E-003
1,266536712646484E-001	1,904369347761939E-003
1,277250945568085E-001	1,899042615453560E-003
1,287031620740891E-001	1,986176072528503E-003
1,297172904014587E-001	1,945128194165589E-003
1,307155489921570E-001	1,990481707252915E-003
1,316978484392166E-001	2,037935021487816E-003
1,327003389596939E-001	2,017266661722618E-003
1,337102204561234E-001	2,061023058558938E-003
1,346861869096756E-001	2,058407292780530E-003
1,356865167617798E-001	2,112422176044980E-003
1,367144584655762E-001	2,147510245574982E-003
1,376914829015732E-001	2,129829440794626E-003
1,386769860982895E-001	2,169729701361384E-003
1,397048979997635E-001	2,235672285476345E-003
1,406978368759155E-001	2,199439804017965E-003
1,417045444250107E-001	2,230532011405256E-003
1,426762640476227E-001	2,263888798350114E-003
1,436988860368729E-001	2,273060141508027E-003
1,447013765573502E-001	2,323553000476552E-003
1,456868648529053E-001	2,303766165722566E-003
1,466840207576752E-001	2,337954878789281E-003
1,476896703243256E-001	2,342912824436405E-003
1,486879289150238E-001	2,369452934645883E-003
1,496914625167847E-001	2,399384843051348E-003
1,506705880165100E-001	2,425103450958793E-003
1,517398953437805E-001	2,433011464139170E-003
1,527009904384613E-001	2,476266493330409E-003
1,536854207515717E-001	2,468333124246178E-003
1,546963900327683E-001	2,478819425353627E-003
1,556659936904907E-001	2,546190670828861E-003
1,566705852746964E-001	2,523851797579692E-003
1,576825976371765E-001	2,554755648210039E-003
1,586924940347672E-001	2,570812784445785E-003
1,596875339746475E-001	2,591033219788290E-003
1,606857776641846E-001	2,577679155365324E-003
1,616458296775818E-001	2,609261234586796E-003
1,626514792442322E-001	2,642784097689511E-003
1,637133359909058E-001	2,687245368684264E-003
1,646903455257416E-001	2,656941128306146E-003
1,656811684370041E-001	2,696781239541857E-003
1,666836589574814E-001	2,727161419089607E-003
1,676829308271408E-001	2,720460682313484E-003
1,687331348657608E-001	2,773311696728354E-003
1,697006076574326E-001	2,749312162551296E-003
1,706839650869370E-001	2,787509217846998E-003
1,716854125261307E-001	2,844949571226614E-003
1,726677119731903E-001	2,788617275048947E-003
1,736967116594315E-001	2,814994592578543E-003
1,746864467859268E-001	2,860522969866816E-003
1,756284534931183E-001	2,856514814993737E-003
1,766563951969147E-001	2,905137106709942E-003
1,776991784572601E-001	2,890468386289698E-003
1,786804497241974E-001	2,923073476671968E-003
1,797094345092773E-001	3,004860788779411E-003
1,807023435831070E-001	2,931908157026764E-003
1,816995143890381E-001	2,968121879651647E-003
1,827136576175690E-001	2,994996007853652E-003
1,836896240711212E-001	3,004141010428112E-003
1,847164928913116E-001	3,031584833176268E-003
1,856765449047089E-001	3,018647220920281E-003
1,866928786039352E-001	3,049952519241894E-003
1,877016276121140E-001	3,097568959573346E-003
1,886775940656662E-001	3,066517256229417E-003
1,896970421075821E-001	3,094089309444027E-003
1,906740367412567E-001	3,115619220908326E-003
1,917231827974319E-001	3,126728964667161E-003
1,926938146352768E-001	3,163399939391347E-003
1,937377005815506E-001	3,147719330122020E-003
1,946499943733215E-001	3,176870446016736E-003
1,957150548696518E-001	3,230222113618071E-003
1,967005580663681E-001	3,195993379146495E-003
1,976966559886932E-001	3,219635901081765E-003
1,986800432205200E-001	3,223859851762739E-003
1,996538788080215E-001	3,248054919620498E-003
2,006659060716629E-001	3,288539601271633E-003
2,016758024692535E-001	3,281745858556770E-003
2,027175128459930E-001	3,310844863032507E-003
2,036987692117691E-001	3,351075092925595E-003
2,047203332185745E-001	3,312788731111349E-003
2,056655585765839E-001	3,353996467517904E-003
2,066956162452698E-001	3,368696471524261E-003
2,077192813158035E-001	3,379339420967485E-003
2,087302207946777E-001	3,411563493500587E-003
2,096785902976990E-001	3,399200689980508E-003
2,107266932725906E-001	3,427341219018373E-003
2,116878032684326E-001	3,429978981633525E-003
2,126722633838654E-001	3,450723590706029E-003
2,136630564928055E-001	3,482081073848856E-003
2,146665602922440E-001	3,497742853141986E-003
2,156732827425003E-001	3,499503426307157E-003
2,167288064956665E-001	3,537565214274866E-003
2,177058160305023E-001	3,513827403164919E-003
2,186987549066544E-001	3,558721054004219E-003
2,196874320507050E-001	3,598199528116519E-003
2,207068353891373E-001	3,566822615135204E-003
2,217125147581100E-001	3,590815895222484E-003
2,226800024509430E-001	3,621191905848625E-003
2,236962616443634E-001	3,631625305691480E-003
2,246616184711456E-001	3,621109692378208E-003
2,257022410631180E-001	3,636250001363806E-003
2,267004996538162E-001	3,673716649346813E-003
2,276955693960190E-001	3,721991701645000E-003
2,286481708288193E-001	3,688155752065034E-003
2,297121584415436E-001	3,720015372285473E-003
2,306700795888901E-001	3,762351659639139E-003
2,317054271697998E-001	3,740650186551248E-003
2,326803058385849E-001	3,782204902866716E-003
2,336997687816620E-001	3,759665445411675E-003
2,347446978092194E-001	3,795119361610796E-003
2,357471585273743E-001	3,844572333845372E-003
2,367347776889801E-001	3,819531955539593E-003
2,376598119735718E-001	3,827234792576448E-003
2,387132197618485E-001	3,855565292825408E-003
2,396690100431442E-001	3,873361809585030E-003
2,406736016273499E-001	3,909386879159801E-003
2,416782081127167E-001	3,882090223972526E-003
2,427220195531845E-001	3,928555296119574E-003
2,437340468168259E-001	3,965527580779352E-003
2,447227239608765E-001	3,934255972126252E-003
2,457252144813538E-001	3,976997043840448E-003
2,467255592346191E-001	3,995204969315727E-003
2,477152943611145E-001	4,008397301933878E-003
2,486753165721893E-001	4,032973286990066E-003
2,496873438358307E-001	4,017784092462132E-003
2,507068216800690E-001	4,029635006493990E-003
2,516912519931793E-001	4,088562729318956E-003
2,526937425136566E-001	4,069840584836334E-003
2,537237703800201E-001	4,099849478128220E-003
2,546604871749878E-001	4,129421417423586E-003
2,556534111499786E-001	4,120504771789352E-003
2,567354738712311E-001	4,146299323717070E-003
2,577082216739655E-001	4,151926670601824E-003
2,586809694766998E-001	4,178232644335395E-003
2,596462965011597E-001	4,232964281578058E-003
2,607029080390930E-001	4,198036129512037E-003
2,617276608943939E-001	4,229637780048923E-003
2,626876831054688E-001	4,235408241786202E-003
2,636816799640656E-001	4,259796233479114E-003
2,646989822387695E-001	4,314210598143589E-003
2,657057344913483E-001	4,276541423880405E-003
2,666806280612946E-001	4,322914374319645E-003
2,676767110824585E-001	4,360291629483179E-003
2,686972320079803E-001	4,344026543953488E-003
2,696721255779266E-001	4,363484775240088E-003
2,706989645957947E-001	4,395942177830479E-003
2,716717422008514E-001	4,392605872756888E-003
2,726615071296692E-001	4,442940196087083E-003
2,736735343933105E-001	4,425179322020613E-003
2,746972441673279E-001	4,452284280382121E-003
2,756317853927612E-001	4,447466083042348E-003
2,766957879066467E-001	4,481782356985320E-003
2,777035832405090E-001	4,511021141095438E-003
2,786827087402344E-001	4,540457899970037E-003
2,796852290630341E-001	4,533052004666796E-003
2,806483805179596E-001	4,575086297134290E-003
2,816954553127289E-001	4,560513402490574E-003
2,827180027961731E-001	4,610886209977461E-003
2,836738526821136E-001	4,645839740987878E-003
2,847049832344055E-001	4,620037934121982E-003
2,856957614421844E-001	4,651741242721816E-003
2,866940200328827E-001	4,687105501135297E-003
2,877059876918793E-001	4,672174640695123E-003
2,887265384197235E-001	4,689072120123081E-003
2,897163033485413E-001	4,707897471234901E-003
2,907187640666962E-001	4,741668241978119E-003
2,916841208934784E-001	4,796205005631146E-003
2,927003502845764E-001	4,768654079170029E-003
2,936784327030182E-001	4,798267489402679E-003
2,946766912937164E-001	4,821706469859542E-003
2,956600487232208E-001	4,841137255829794E-003
2,967123687267303E-001	4,881387512998325E-003
2,976638972759247E-001	4,857200344203103E-003
2,987046241760254E-001	4,892440550368821E-003
2,996783852577209E-001	4,954003458907313E-003
3,007180094718933E-001	4,918900663647585E-003
3,017014265060425E-001	4,926867437865842E-003
3,026455342769623E-001	4,980529498021094E-003
3,036755919456482E-001	4,987140153793434E-003
3,046578764915466E-001	5,024869377747487E-003
3,056773543357849E-001	5,028200466767913E-003
3,066469430923462E-001	5,046842445153757E-003
3,076897263526917E-001	5,061529085247072E-003
3,086763024330139E-001	5,083812006180077E-003
3,096798062324524E-001	5,120705059299444E-003
3,106729090213776E-001	5,158404743937438E-003
3,117113113403320E-001	5,149782722178836E-003
3,127052485942841E-001	5,195743884137816E-003
3,136536777019501E-001	5,180588646908305E-003
3,146699070930481E-001	5,198880211537478E-003
3,156893849372864E-001	5,263488599868860E-003
3,166334629058838E-001	5,241819687297641E-003
3,176783919334412E-001	5,280290900069914E-003
3,186267912387848E-001	5,310030299976169E-003
3,196589350700378E-001	5,321521243281002E-003
3,206751942634583E-001	5,349462933534395E-003
3,216543495655060E-001	5,347792518376904E-003
3,226737678050995E-001	5,378780842470909E-003
3,236762881278992E-001	5,433549020381179E-003
3,246691823005676E-001	5,398962526265289E-003
3,256727457046509E-001	5,451432423999216E-003
3,266974389553070E-001	5,458228768677337E-003
3,276458382606506E-001	5,472933314498121E-003
3,286854624748230E-001	5,543793010777648E-003
3,296391069889069E-001	5,513340806727614E-003
3,306691944599152E-001	5,544097773559381E-003
3,316853940486908E-001	5,606726200009390E-003
3,326624631881714E-001	5,586552747748427E-003
3,336744606494904E-001	5,630851143602476E-003
3,347108960151672E-001	5,655163796796446E-003
3,356699049472809E-001	5,652248436591543E-003
3,366765677928925E-001	5,703071774203455E-003
3,376705646514893E-001	5,691605730438226E-003
3,386730253696442E-001	5,721887242543758E-003
3,396850526332855E-001	5,733344402768958E-003
3,406599760055542E-001	5,757956588139587E-003
3,416645526885986E-001	5,786056705498331E-003
3,426500856876373E-001	5,813836315711446E-003
3,436938822269440E-001	5,823376720703308E-003
3,446688055992126E-001	5,868676048622665E-003
3,457147777080536E-001	5,856890677629668E-003
3,466588854789734E-001	5,888863748421291E-003
3,476550281047821E-001	5,947924603080738E-003
3,486574292182922E-001	5,914080527468814E-003
3,497140407562256E-001	5,960905761134616E-003
3,506878614425659E-001	5,997398912263151E-003
3,516988456249237E-001	5,985886876765628E-003
3,526482582092285E-001	6,000856206406363E-003
3,536591827869415E-001	6,029979167780961E-003
3,546850383281708E-001	6,062025726957205E-003
3,556567430496216E-001	6,118120786494652E-003
3,566560149192810E-001	6,093555506393199E-003
3,576606810092926E-001	6,133205161556070E-003
3,586896359920502E-001	6,150594036929184E-003
3,596539199352264E-001	6,171184951300451E-003
3,606510460376740E-001	6,223515084760343E-003
3,616758286952972E-001	6,202158786941775E-003
3,626889288425446E-001	6,233661760133041E-003
3,632056415081024E-001	6,327624781988561E-003
3,633774816989899E-001	6,285936505134614E-003
3,626941740512848E-001	2,360383964135810E-003
3,616726696491241E-001	1,901836956878674E-003
3,606616854667664E-001	1,652443343421819E-003
3,596761822700500E-001	1,505532380178917E-003
3,586981296539307E-001	1,342406731863681E-003
3,576765358448029E-001	1,195783119227500E-003
3,566815257072449E-001	1,065438612992394E-003
3,556981086730957E-001	9,189424295578241E-004
3,546988666057587E-001	8,552062378031355E-004
3,536815047264099E-001	7,281617851933554E-004
3,526800572872162E-001	6,757652653909150E-004
3,516903817653656E-001	5,659788346040178E-004
3,506687581539154E-001	4,669608464003740E-004
3,497077226638794E-001	4,159366960215683E-004
3,486786782741547E-001	3,541900360788661E-004
3,477101325988770E-001	2,418401449833464E-004
3,466854095458984E-001	2,297046369727066E-004
3,457009196281433E-001	1,559082583702953E-004
3,446868658065796E-001	6,535967198652119E-005
3,436885774135590E-001	5,440729530597436E-005
3,426595926284790E-001	-2,951115423894342E-005
3,417176008224487E-001	-5,619089410736748E-005
3,406333923339844E-001	-1,189606156839001E-004
3,396956920623779E-001	-1,379782937899810E-004
3,386719822883606E-001	-2,129949354588868E-004
3,376747965812683E-001	-2,592503210886812E-004
3,367020487785339E-001	-3,276235755972972E-004
3,356857597827911E-001	-3,347037984945511E-004
3,346896767616272E-001	-4,078131061457180E-004
3,336638510227203E-001	-4,352223726679441E-004
3,326731026172638E-001	-4,808764484399348E-004
3,316652774810791E-001	-5,349477429111484E-004
3,306808173656464E-001	-5,283202863211062E-004
3,296868801116943E-001	-5,934271028612172E-004
3,286747932434082E-001	-6,599982113786786E-004
3,276776969432831E-001	-6,343203620720770E-004
3,266497254371643E-001	-6,735671182064411E-004
3,256981372833252E-001	-7,187499079716678E-004
3,247010111808777E-001	-7,567082617343742E-004
3,236985206604004E-001	-8,248807927076179E-004
3,226642608642578E-001	-8,121050620704586E-004
3,216893374919891E-001	-8,614712586576222E-004
3,206433653831482E-001	-9,007436873010484E-004
3,196791112422943E-001	-9,136370171694986E-004
3,186670541763306E-001	-9,612780160952895E-004
3,176327943801880E-001	-9,693441987413537E-004
3,166854679584503E-001	-9,989615064114295E-004
3,156416118144989E-001	-1,068715094334033E-003
3,146614134311676E-001	-1,044369799425720E-003
3,137024343013763E-001	-1,075767907119973E-003
3,126596808433533E-001	-1,131915454000890E-003
3,116752207279205E-001	-1,134932535327000E-003
3,106763660907745E-001	-1,211869035900788E-003
3,096967935562134E-001	-1,191548632959890E-003
3,086593151092529E-001	-1,227869504671405E-003
3,076335191726685E-001	-1,238806763063214E-003
3,066978454589844E-001	-1,259273744027368E-003
3,056964576244354E-001	-1,294836674282530E-003
3,046727478504181E-001	-1,349947860843609E-003
3,036798238754272E-001	-1,329553450988081E-003
3,026932775974274E-001	-1,371784606211193E-003
3,016822934150696E-001	-1,376635600940467E-003
3,007286190986633E-001	-1,402096815379783E-003
2,996900677680969E-001	-1,470808745580140E-003
2,987141311168671E-001	-1,447708412443814E-003
2,976915240287781E-001	-1,477782834727901E-003
2,967112958431244E-001	-1,531613591194195E-003
2,957024574279785E-001	-1,516883648946525E-003
2,947042286396027E-001	-1,541997411752356E-003
2,937187850475311E-001	-1,556914837743124E-003
2,926780879497528E-001	-1,582987002418823E-003
2,916851341724396E-001	-1,634821200039166E-003
2,907049655914307E-001	-1,607515374416825E-003
2,896547317504883E-001	-1,650911084248542E-003
2,887127697467804E-001	-1,650375244935273E-003
2,877166271209717E-001	-1,681415200740343E-003
2,866918742656708E-001	-1,715753482130815E-003
