C:\EC-lab data\Neethu\2024_10_01_Ni90Fe10_ZrO2\CV_ECSA\CV_ECSA_02_CV_C01.mpr
Ewe/V	<I>/mA
6,420119106769562E-002	-3,700117021799088E-002
6,423723697662354E-002	-6,880268229367548E-003
6,551870703697205E-002	-5,480050284273202E-003
6,685533374547958E-002	-3,316392583117181E-003
6,817478686571121E-002	-3,244482007317457E-003
6,945646554231644E-002	-3,751193365638367E-003
7,043877989053726E-002	-3,497270245066755E-003
7,140518724918365E-002	-3,296656401293716E-003
7,241508364677429E-002	-3,081401986694099E-003
7,341225445270538E-002	-2,982374135576213E-003
7,440517842769623E-002	-2,838081174828672E-003
7,542568445205688E-002	-2,723743918640718E-003
7,645680010318756E-002	-2,687625111051328E-003
7,740304619073868E-002	-2,541434068192489E-003
7,840976864099503E-002	-2,472895223078276E-003
7,942179590463638E-002	-2,377525472369336E-003
8,044654130935669E-002	-2,383729949407880E-003
8,145751059055328E-002	-2,195477783836261E-003
8,242072165012360E-002	-2,283360995702598E-003
8,342743664979935E-002	-2,105554989039190E-003
8,441082388162613E-002	-2,165643078451802E-003
8,539631962776184E-002	-2,050132749664724E-003
8,642425388097763E-002	-2,002984307367761E-003
8,743944764137268E-002	-1,963127861960883E-003
8,843131363391876E-002	-1,992060782632268E-003
8,939559757709503E-002	-1,855392990680438E-003
9,043838828802109E-002	-1,914319792140981E-003
9,143131226301193E-002	-1,800681162320770E-003
9,241045266389847E-002	-1,835196585842719E-003
9,344580024480820E-002	-1,714050611536986E-003
9,441328048706055E-002	-1,703554513142079E-003
9,541681408882141E-002	-1,695994116626364E-003
9,641822427511215E-002	-1,681386213662064E-003
9,741856902837753E-002	-1,639372275618636E-003
9,840619564056396E-002	-1,596353188587175E-003
9,942032396793365E-002	-1,580920072266659E-003
1,004228070378304E-001	-1,556458608724321E-003
1,013839095830917E-001	-1,549546653256621E-003
1,023916974663734E-001	-1,582944937194110E-003
1,034026369452477E-001	-1,487919823308332E-003
1,044114753603935E-001	-1,488739256619399E-003
1,054436638951302E-001	-1,505563745855333E-003
1,064015850424767E-001	-1,392614754877286E-003
1,074146628379822E-001	-1,499029077864280E-003
1,084097027778625E-001	-1,385316717898135E-003
1,093750521540642E-001	-1,396882826965242E-003
1,104358732700348E-001	-1,355440680425901E-003
1,113909035921097E-001	-1,370893120167450E-003
1,123814135789871E-001	-1,313768637879142E-003
1,134220734238625E-001	-1,265815456496998E-003
1,143905967473984E-001	-1,337086455115004E-003
1,154057979583740E-001	-1,255888244149562E-003
1,164050921797752E-001	-1,299075232021062E-003
1,173905953764915E-001	-1,219017686876381E-003
1,184057965874672E-001	-1,224246557049570E-003
1,194040328264236E-001	-1,277558366348748E-003
1,203683018684387E-001	-1,186668673620227E-003
1,214004829525948E-001	-1,178922603853774E-003
1,224008426070213E-001	-1,233369197844125E-003
1,233714967966080E-001	-1,174560184423438E-003
1,244100332260132E-001	-1,029509801204158E-003
1,254124939441681E-001	-1,117260450040770E-003
1,264149695634842E-001	-1,097656467832334E-003
1,274015456438065E-001	-1,086284975759483E-003
1,283827871084213E-001	-1,099537000333868E-003
1,293682903051376E-001	-1,067202769937233E-003
1,304121464490891E-001	-9,719241306474606E-004
1,314082443714142E-001	-1,070937242292092E-003
1,323884427547455E-001	-1,014495124157593E-003
1,334131956100464E-001	-1,023591162366860E-003
1,343923360109329E-001	-9,678418331936366E-004
1,354160159826279E-001	-1,000880627947887E-003
1,363739371299744E-001	-9,722188910717237E-004
1,373997628688812E-001	-9,982278522700089E-004
1,384191960096359E-001	-8,938620320119734E-004
1,394004523754120E-001	-9,429352981661131E-004
1,404209583997726E-001	-8,389556190498597E-004
1,413725167512894E-001	-8,775210227651327E-004
1,423824131488800E-001	-7,909287982901924E-004
1,434061080217361E-001	-9,074500647927759E-004
1,443778127431870E-001	-8,910412738074511E-004
1,454046964645386E-001	-8,698692456029543E-004
1,463848799467087E-001	-8,257212762019794E-004
1,473990231752396E-001	-7,564840751894293E-004
1,483802646398544E-001	-8,336265042422145E-004
1,493721455335617E-001	-7,626709141782678E-004
1,503756642341614E-001	-7,740099972074321E-004
1,513855904340744E-001	-7,684804550944207E-004
1,523912250995636E-001	-7,935313951347965E-004
1,533777862787247E-001	-7,826344511335636E-004
1,544089168310165E-001	-8,267705851620934E-004
1,554188132286072E-001	-7,751064994223587E-004
1,563682556152344E-001	-7,515115983349251E-004
1,573951095342636E-001	-7,788380380378407E-004
1,583922803401947E-001	-6,899555876063654E-004
1,594191491603851E-001	-6,972801913299777E-004
1,604088991880417E-001	-6,619954475581826E-004
1,613453030586243E-001	-7,244560063287570E-004
1,623830646276474E-001	-7,004899953581417E-004
1,634003967046738E-001	-7,086133958317219E-004
1,643890887498856E-001	-6,998062182430164E-004
1,653501838445663E-001	-6,733846314293484E-004
1,663558483123779E-001	-6,292838226255749E-004
1,673869639635086E-001	-5,264684838308577E-004
1,683756411075592E-001	-6,724620559494989E-004
1,693781018257141E-001	-5,766411378755488E-004
1,703710556030273E-001	-6,502760705870978E-004
1,714021563529968E-001	-5,810771696343614E-004
1,723876446485519E-001	-5,304800529470554E-004
1,733720898628235E-001	-5,778584718596157E-004
1,743745654821396E-001	-5,512452954732272E-004
1,753600686788559E-001	-6,196248191540875E-004
1,763858795166016E-001	-5,782475452212627E-004
1,773862242698669E-001	-4,406455428007036E-004
1,783749163150787E-001	-4,892383443870201E-004
1,793794929981232E-001	-5,169715833391016E-004
1,804212331771851E-001	-4,853063634005523E-004
1,813982576131821E-001	-5,542930291455739E-004
1,823720782995224E-001	-5,079668580947327E-004
1,834053099155426E-001	-3,940511922472206E-004
1,844099164009094E-001	-3,678683610309616E-004
1,853816062211990E-001	-4,313343361664688E-004
1,864392459392548E-001	-3,777484227140566E-004
1,874194443225861E-001	-4,565680385860988E-004
1,884176731109619E-001	-3,865762456135360E-004
1,893809139728546E-001	-3,571865502938927E-004
1,903908103704453E-001	-3,647557526467913E-004
1,913826465606689E-001	-4,224976888441165E-004
1,924212276935577E-001	-3,714996923075966E-004
1,933727711439133E-001	-3,764898507412264E-004
1,944038867950439E-001	-3,647852428103875E-004
1,953883171081543E-001	-3,381721040501286E-004
1,964364051818848E-001	-3,836022039683511E-004
1,973741650581360E-001	-3,413023838489872E-004
1,983999609947205E-001	-2,867319792669676E-004
1,993907839059830E-001	-2,506012918493737E-004
2,003677785396576E-001	-3,356814365394747E-004
2,013628482818604E-001	-3,076416699227770E-004
2,023663818836212E-001	-2,838050782648436E-004
2,033900767564774E-001	-1,375108565079485E-004
2,043692022562027E-001	-1,827198959197759E-004
2,053525745868683E-001	-2,670749610308152E-004
2,064155191183090E-001	-1,567758576954847E-004
2,073999792337418E-001	-2,513587841416733E-004
2,084586322307587E-001	-2,151603202609886E-004
2,093836665153503E-001	-1,714485948906695E-004
2,104116231203079E-001	-1,844176865309536E-004
2,114268690347672E-001	-1,048903482758312E-004
2,123804986476898E-001	-9,883939197539711E-005
2,133638560771942E-001	-1,520539187285725E-004
2,143546789884567E-001	-5,293179727166913E-005
2,153921723365784E-001	-2,028013526948296E-004
2,163745015859604E-001	-1,270176887628712E-004
2,173875570297241E-001	-5,049713725897896E-005
2,184038460254669E-001	-8,325882440321617E-005
2,193723469972610E-001	-1,053711194353363E-004
2,203886359930038E-001	-8,483573207300845E-005
2,214027643203735E-001	-4,171940904766581E-005
2,224115878343582E-001	-4,126778146992918E-006
2,234268188476563E-001	-1,574883014688586E-005
2,243688106536865E-001	2,395720801789351E-005
2,254084199666977E-001	-2,378672525780323E-005
2,263748198747635E-001	-6,190404344389811E-005
2,273634970188141E-001	5,040528765221073E-005
2,284285575151443E-001	8,066449772867505E-005
2,293716073036194E-001	-1,637666309130113E-005
2,304154783487320E-001	2,090946735380496E-005
2,313638627529144E-001	2,627984475709499E-005
2,323843389749527E-001	6,847652487404422E-005
2,334143966436386E-001	9,787508288270491E-005
2,343840152025223E-001	8,272189090150655E-005
2,354119271039963E-001	8,087378433561726E-005
2,363900244235992E-001	1,981004041024603E-005
2,374179512262344E-001	1,713714570096652E-004
2,384246438741684E-001	1,606012267950942E-004
2,393762171268463E-001	1,267519284829811E-004
2,403436899185181E-001	1,141276910840575E-004
2,413938641548157E-001	2,099397455552843E-004
2,423814833164215E-001	2,361638074338166E-004
2,433966845273972E-001	1,919156761181913E-004
2,444129735231400E-001	2,944598374799366E-004
2,454345524311066E-001	2,408385646293499E-004
2,463924884796143E-001	2,676993109263200E-004
2,474066168069839E-001	3,069691013866695E-004
2,484483271837235E-001	2,647842399744185E-004
2,494221627712250E-001	2,671098250006995E-004
2,503927946090698E-001	2,676049870076348E-004
2,513698041439056E-001	2,362492903187187E-004
2,523733377456665E-001	3,091532346472942E-004
2,533917427062988E-001	2,630540168158612E-004
2,543931603431702E-001	3,513675587067128E-004
2,553743720054626E-001	3,796519852551654E-004
2,563821673393250E-001	3,700106567015998E-004
2,574005722999573E-001	3,940741883828508E-004
2,584062218666077E-001	3,789033126308915E-004
2,593577504158020E-001	4,229805016214630E-004
2,604005634784698E-001	4,221640266187611E-004
2,614139020442963E-001	5,475921987881192E-004
2,624288499355316E-001	5,156327992642290E-004
2,633803784847260E-001	4,812175866559468E-004
2,643690705299377E-001	5,236795418589412E-004
2,653991281986237E-001	4,921557987403180E-004
2,663931250572205E-001	4,886718427483342E-004
2,674305737018585E-001	5,353723143941731E-004
2,683354914188385E-001	5,236589150212235E-004
2,694016098976135E-001	5,762662150556475E-004
2,704252898693085E-001	5,674707933428217E-004
2,714203298091888E-001	6,280010723761116E-004
2,723559737205505E-001	5,485948810541284E-004
2,734157443046570E-001	6,192970200084320E-004
2,743746936321259E-001	5,427116409043289E-004
2,754122018814087E-001	6,561321587704918E-004
2,763987481594086E-001	6,445572557485894E-004
2,773725688457489E-001	6,749314435452363E-004
2,784111201763153E-001	6,602764276943101E-004
2,793541848659515E-001	6,241191793008131E-004
2,804203331470490E-001	6,901112156238350E-004
2,813793122768402E-001	7,262124243686240E-004
2,823987901210785E-001	7,424473502624061E-004
2,833969891071320E-001	7,725149685703166E-004
2,844132483005524E-001	8,210105021741314E-004
2,854295074939728E-001	8,155251325576876E-004
2,864181697368622E-001	8,320047255623419E-004
2,874281108379364E-001	8,366058192408425E-004
2,883669137954712E-001	8,405643298256453E-004
2,894181609153748E-001	8,953144783424259E-004
2,904238402843475E-001	8,287978482828598E-004
2,914167642593384E-001	8,944420176585843E-004
2,923874258995056E-001	9,374699108324995E-004
2,934015393257141E-001	9,059020093834173E-004
2,944326698780060E-001	9,952560112651541E-004
2,954054474830627E-001	9,196433546144883E-004
2,963951826095581E-001	1,011314020045291E-003
2,973923981189728E-001	9,516592691498852E-004
2,983948290348053E-001	1,023628787004752E-003
2,994004786014557E-001	9,359548744193417E-004
3,004284203052521E-001	1,049628866894640E-003
3,014372885227203E-001	1,106574881764235E-003
3,023729026317596E-001	1,059594418081726E-003
3,034156858921051E-001	1,032783782180661E-003
3,043842017650604E-001	1,093485033273373E-003
3,053824305534363E-001	1,122355950988767E-003
3,063934147357941E-001	1,087716680962731E-003
3,073778152465820E-001	1,230930813247468E-003
3,083580434322357E-001	1,142723356248133E-003
3,093679249286652E-001	1,190988962018004E-003
3,104023039340973E-001	1,229385474245590E-003
3,114021718502045E-001	1,232831854034675E-003
3,123700320720673E-001	1,268479156099943E-003
3,133778274059296E-001	1,238390912038557E-003
3,143824338912964E-001	1,282031894043534E-003
3,153753578662872E-001	1,339726726554444E-003
3,163428008556366E-001	1,355914430070652E-003
3,174025714397430E-001	1,280667156598376E-003
3,183276057243347E-001	1,293235428635048E-003
3,193576633930206E-001	1,376358403688379E-003
3,203495442867279E-001	1,398308568178033E-003
3,213944435119629E-001	1,445734226767519E-003
3,223342895507813E-001	1,396991036253223E-003
3,233802616596222E-001	1,400433794810009E-003
3,244135081768036E-001	1,519092102481797E-003
3,254340291023254E-001	1,519242355922972E-003
3,263579607009888E-001	1,520400705643438E-003
3,273869752883911E-001	1,530893878166524E-003
3,283459842205048E-001	1,570098830976953E-003
3,294248282909393E-001	1,581249315302520E-003
3,303806185722351E-001	1,606712845155353E-003
3,313512802124023E-001	1,558547506369402E-003
3,323580026626587E-001	1,654247577634386E-003
3,333869576454163E-001	1,635188841562385E-003
3,343703448772430E-001	1,668498775950829E-003
3,354089260101318E-001	1,637546899204333E-003
3,364039659500122E-001	1,663552877963180E-003
3,373979330062866E-001	1,710951830386026E-003
3,384035825729370E-001	1,706784126461702E-003
3,394071161746979E-001	1,789279305403058E-003
3,403883874416351E-001	1,786933067773201E-003
3,413791954517365E-001	1,744338451923498E-003
3,424357771873474E-001	1,834945220589690E-003
3,434488475322723E-001	1,831723530173156E-003
3,444056808948517E-001	1,894620636044730E-003
3,454103171825409E-001	1,858345557492513E-003
3,463989794254303E-001	1,847873096536480E-003
3,473696112632751E-001	1,890576600595120E-003
3,483837842941284E-001	1,882120367992212E-003
